min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.4,1,5,0,174,6,17,43
0.4,1,5,1,175,6,17,43
0.4,1,5,2,243,8,21,43
0.4,1,5,3,243,8,21,43
0.4,1,6,0,166,6,16,43
0.4,1,6,1,167,6,16,43
0.4,1,6,2,234,8,20,43
0.4,1,6,3,237,8,20,43
0.4,1,7,0,41,6,15,43
0.4,1,7,1,43,6,15,43
0.4,1,7,2,48,8,18,43
0.4,1,7,3,50,8,18,43
0.4,1,8,0,41,6,15,43
0.4,1,8,1,43,6,15,43
0.4,1,8,2,48,8,18,43
0.4,1,8,3,50,8,18,43
0.4,1,9,0,25,6,13,43
0.4,1,9,1,25,6,13,43
0.4,1,9,2,30,8,16,43
0.4,1,9,3,30,8,16,43
0.4,1,10,0,12,5,8,43
0.4,1,10,1,13,6,9,43
0.4,1,10,2,13,6,9,43
0.4,1,10,3,18,7,12,43
0.4,2,5,0,243,8,22,43
0.4,2,5,1,452,8,23,43
0.4,2,5,2,1132,8,23,43
0.4,2,5,3,1786,8,23,43
0.4,2,6,0,235,8,21,43
0.4,2,6,1,273,8,21,43
0.4,2,6,2,417,8,21,43
0.4,2,6,3,651,8,21,43
0.4,2,7,0,183,7,18,43
0.4,2,7,1,215,8,19,43
0.4,2,7,2,235,8,20,43
0.4,2,7,3,238,8,20,43
0.4,2,8,0,58,7,14,43
0.4,2,8,1,77,7,14,43
0.4,2,8,2,89,7,15,43
0.4,2,8,3,97,7,15,43
0.4,2,9,0,25,5,9,43
0.4,2,9,1,26,5,9,43
0.4,2,9,2,27,5,9,43
0.4,2,9,3,30,5,9,43
0.4,2,10,0,20,3,7,43
0.4,2,10,1,20,3,7,43
0.4,2,10,2,22,5,9,43
0.4,2,10,3,26,5,9,43
0.4,3,5,0,397,9,25,44
0.4,3,5,1,489,9,25,44
0.4,3,5,2,3000,9,25,44
0.4,3,5,3,3000,5,16,44
0.4,3,6,0,242,9,24,43
0.4,3,6,1,246,9,24,43
0.4,3,6,2,254,9,24,43
0.4,3,6,3,258,9,24,43
0.4,3,7,0,192,8,21,43
0.4,3,7,1,227,9,22,43
0.4,3,7,2,250,9,23,43
0.4,3,7,3,255,9,23,43
0.4,3,8,0,109,8,19,43
0.4,3,8,1,137,8,19,43
0.4,3,8,2,155,8,20,43
0.4,3,8,3,213,9,22,43
0.4,3,9,0,47,6,12,43
0.4,3,9,1,50,6,12,43
0.4,3,9,2,56,7,14,43
0.4,3,9,3,67,8,15,43
0.4,3,10,0,28,5,11,43
0.4,3,10,1,30,5,11,43
0.4,3,10,2,30,5,11,43
0.4,3,10,3,35,6,12,43
0.4,4,5,0,3000,6,18,44
0.4,4,5,1,3000,2,9,44
0.4,4,5,2,3000,4,9,43
0.4,4,5,3,3000,0,5,43
0.4,4,6,0,3000,6,18,44
0.4,4,6,1,3000,6,16,44
0.4,4,6,2,3000,8,19,44
0.4,4,6,3,3000,4,12,44
0.4,4,7,0,1532,6,16,43
0.4,4,7,1,2197,6,16,43
0.4,4,7,2,2709,8,20,43
0.4,4,7,3,3000,6,16,44
0.4,4,8,0,612,6,15,43
0.4,4,8,1,1198,6,15,43
0.4,4,8,2,1848,8,19,43
0.4,4,8,3,3000,6,16,44
0.4,4,9,0,35,6,13,43
0.4,4,9,1,44,6,13,43
0.4,4,9,2,80,8,17,43
0.4,4,9,3,109,8,19,44
0.4,4,10,0,17,6,9,43
0.4,4,10,1,18,6,9,43
0.4,4,10,2,23,7,13,43
0.4,4,10,3,46,8,16,44
0.4,5,5,0,3000,8,19,43
0.4,5,5,1,3000,4,11,43
0.4,5,5,2,3000,4,9,43
