min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,2,0,5000,2,4,23
0.1,1,2,1,5000,2,4,23
0.1,1,2,2,5000,2,4,23
0.1,1,2,3,5000,2,4,23
0.1,1,3,0,330,3,5,23
0.1,1,3,1,330,3,5,23
0.1,1,3,2,330,3,5,23
0.1,1,3,3,330,3,5,23
0.1,1,4,0,1,0,0,0
0.1,1,4,1,1,0,0,0
0.1,1,4,2,1,0,0,0
0.1,1,4,3,1,0,0,0
0.1,1,5,0,1,0,0,0
0.1,1,5,1,1,0,0,0
0.1,1,5,2,1,0,0,0
0.1,1,5,3,1,0,0,0
0.1,1,6,0,0,0,0,0
0.1,1,6,1,0,0,0,0
0.1,1,6,2,0,0,0,0
0.1,1,6,3,0,0,0,0
0.1,1,7,0,0,0,0,0
0.1,1,7,1,0,0,0,0
0.1,1,7,2,0,0,0,0
0.1,1,7,3,0,0,0,0
0.1,1,8,0,0,0,0,0
0.1,1,8,1,0,0,0,0
0.1,1,8,2,0,0,0,0
0.1,1,8,3,0,0,0,0
0.1,1,9,0,0,0,0,0
0.1,1,9,1,0,0,0,0
0.1,1,9,2,0,0,0,0
0.1,1,9,3,0,0,0,0
0.1,1,10,0,0,0,0,0
0.1,1,10,1,0,0,0,0
0.1,1,10,2,0,0,0,0
0.1,1,10,3,0,0,0,0
0.1,2,2,0,5000,1,5,25
0.1,2,2,1,5000,1,5,25
0.1,2,2,2,5000,1,5,25
0.1,2,2,3,5000,1,5,25
0.1,2,3,0,332,4,7,23
0.1,2,3,1,332,4,7,23
0.1,2,3,2,332,4,7,23
0.1,2,3,3,332,4,7,23
0.1,2,4,0,162,4,5,22
0.1,2,4,1,162,4,5,22
0.1,2,4,2,162,4,5,22
0.1,2,4,3,162,4,5,22
0.1,2,5,0,55,2,2,22
0.1,2,5,1,55,2,2,22
0.1,2,5,2,55,2,2,22
0.1,2,5,3,55,2,2,22
0.1,2,6,0,23,2,2,22
0.1,2,6,1,23,2,2,22
0.1,2,6,2,23,2,2,22
0.1,2,6,3,23,2,2,22
0.1,2,7,0,2,2,2,22
0.1,2,7,1,2,2,2,22
0.1,2,7,2,2,2,2,22
0.1,2,7,3,2,2,2,22
0.1,2,8,0,2,2,2,22
0.1,2,8,1,2,2,2,22
0.1,2,8,2,2,2,2,22
0.1,2,8,3,2,2,2,22
0.1,2,9,0,0,0,0,0
0.1,2,9,1,0,0,0,0
0.1,2,9,2,0,0,0,0
0.1,2,9,3,0,0,0,0
0.1,2,10,0,0,0,0,0
0.1,2,10,1,0,0,0,0
0.1,2,10,2,0,0,0,0
0.1,2,10,3,0,0,0,0
0.1,3,2,0,5000,1,6,25
0.1,3,2,1,5000,1,6,25
0.1,3,2,2,5000,1,6,25
0.1,3,2,3,5000,1,6,25
0.1,3,3,0,803,7,10,23
0.1,3,3,1,803,7,10,23
0.1,3,3,2,803,7,10,23
0.1,3,3,3,803,7,10,23
0.1,3,4,0,248,7,7,22
0.1,3,4,1,248,7,7,22
0.1,3,4,2,248,7,7,22
0.1,3,4,3,248,7,7,22
0.1,3,5,0,27,4,4,22
0.1,3,5,1,27,4,4,22
0.1,3,5,2,27,4,4,22
0.1,3,5,3,27,4,4,22
0.1,3,6,0,25,4,4,22
0.1,3,6,1,25,4,4,22
0.1,3,6,2,25,4,4,22
0.1,3,6,3,25,4,4,22
0.1,3,7,0,4,4,4,22
0.1,3,7,1,4,4,4,22
0.1,3,7,2,4,4,4,22
0.1,3,7,3,4,4,4,22
0.1,3,8,0,4,4,4,22
0.1,3,8,1,4,4,4,22
0.1,3,8,2,4,4,4,22
0.1,3,8,3,4,4,4,22
0.1,3,9,0,2,2,2,18
0.1,3,9,1,2,2,2,18
0.1,3,9,2,2,2,2,18
0.1,3,9,3,2,2,2,18
0.1,3,10,0,2,2,2,18
0.1,3,10,1,2,2,2,18
0.1,3,10,2,2,2,2,18
0.1,3,10,3,2,2,2,18
0.1,4,2,0,5000,1,5,25
0.1,4,2,1,5000,1,5,25
0.1,4,2,2,5000,1,5,25
0.1,4,2,3,5000,1,5,25
0.1,4,3,0,1175,8,11,24
0.1,4,3,1,1175,8,11,24
0.1,4,3,2,1175,8,11,24
0.1,4,3,3,1175,8,11,24
0.1,4,4,0,255,7,7,22
0.1,4,4,1,255,7,7,22
0.1,4,4,2,255,7,7,22
0.1,4,4,3,255,7,7,22
0.1,4,5,0,27,4,4,22
0.1,4,5,1,27,4,4,22
0.1,4,5,2,27,4,4,22
0.1,4,5,3,27,4,4,22
0.1,4,6,0,25,4,4,22
0.1,4,6,1,25,4,4,22
0.1,4,6,2,25,4,4,22
0.1,4,6,3,25,4,4,22
0.1,4,7,0,4,4,4,22
0.1,4,7,1,4,4,4,22
0.1,4,7,2,4,4,4,22
0.1,4,7,3,4,4,4,22
0.1,4,8,0,4,4,4,22
0.1,4,8,1,4,4,4,22
0.1,4,8,2,4,4,4,22
0.1,4,8,3,4,4,4,22
0.1,4,9,0,2,2,2,18
0.1,4,9,1,2,2,2,18
0.1,4,9,2,2,2,2,18
0.1,4,9,3,2,2,2,18
0.1,4,10,0,2,2,2,18
0.1,4,10,1,2,2,2,18
0.1,4,10,2,2,2,2,18
0.1,4,10,3,2,2,2,18
0.1,5,2,0,5000,0,1,1
0.1,5,2,1,5000,0,1,1
0.1,5,2,2,5000,0,1,1
