min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.4,1,5,0,575,6,14,25
0.4,1,5,1,913,6,15,26
0.4,1,5,2,1438,6,16,28
0.4,1,5,3,2511,6,16,28
0.4,1,6,0,63,2,6,23
0.4,1,6,1,89,2,6,23
0.4,1,6,2,151,2,6,23
0.4,1,6,3,233,2,6,23
0.4,1,7,0,35,1,4,23
0.4,1,7,1,47,1,4,23
0.4,1,7,2,89,1,4,23
0.4,1,7,3,106,1,4,23
0.4,1,8,0,12,1,4,23
0.4,1,8,1,23,1,4,23
0.4,1,8,2,33,1,4,23
0.4,1,8,3,41,1,4,23
0.4,1,9,0,8,0,3,23
0.4,1,9,1,10,0,3,23
0.4,1,9,2,20,1,4,23
0.4,1,9,3,28,1,4,23
0.4,1,10,0,8,0,3,23
0.4,1,10,1,10,0,3,23
0.4,1,10,2,19,1,4,23
0.4,1,10,3,26,1,4,23
0.4,2,5,0,2132,7,21,29
0.4,2,5,1,5000,6,14,27
0.4,2,5,2,5000,0,1,23
0.4,2,5,3,5000,0,1,23
0.4,2,6,0,315,7,16,25
0.4,2,6,1,684,7,17,26
0.4,2,6,2,1545,7,18,28
0.4,2,6,3,3377,8,19,28
0.4,2,7,0,272,7,16,25
0.4,2,7,1,437,7,17,26
0.4,2,7,2,791,7,18,28
0.4,2,7,3,1110,8,19,28
0.4,2,8,0,133,6,14,24
0.4,2,8,1,224,6,15,25
0.4,2,8,2,390,6,16,27
0.4,2,8,3,591,7,17,27
0.4,2,9,0,61,5,8,23
0.4,2,9,1,98,5,8,23
0.4,2,9,2,156,5,8,23
0.4,2,9,3,234,6,9,23
0.4,2,10,0,61,5,8,23
0.4,2,10,1,91,5,8,23
0.4,2,10,2,148,5,8,23
0.4,2,10,3,231,6,9,23
0.4,3,5,0,2178,9,23,29
0.4,3,5,1,2956,9,23,29
0.4,3,5,2,4153,9,23,29
0.4,3,5,3,5000,8,17,27
0.4,3,6,0,1736,9,21,29
0.4,3,6,1,1862,9,21,29
0.4,3,6,2,2042,9,21,29
0.4,3,6,3,3953,9,21,29
0.4,3,7,0,321,9,18,25
0.4,3,7,1,565,9,19,26
0.4,3,7,2,1008,9,20,28
0.4,3,7,3,2416,9,20,28
0.4,3,8,0,161,8,15,24
0.4,3,8,1,276,8,16,25
0.4,3,8,2,485,8,17,27
0.4,3,8,3,788,8,17,27
0.4,3,9,0,53,5,7,23
0.4,3,9,1,83,5,7,23
0.4,3,9,2,133,5,7,23
0.4,3,9,3,175,5,7,23
0.4,3,10,0,40,5,6,23
0.4,3,10,1,62,5,6,23
0.4,3,10,2,94,5,6,23
0.4,3,10,3,129,5,6,23
0.4,4,5,0,2971,9,23,29
0.4,4,5,1,5000,9,23,29
0.4,4,5,2,5000,7,15,27
0.4,4,5,3,5000,0,3,24
0.4,4,6,0,1786,9,21,29
0.4,4,6,1,1898,9,21,29
0.4,4,6,2,2136,9,21,29
0.4,4,6,3,3195,9,21,29
0.4,4,7,0,450,8,17,25
0.4,4,7,1,587,8,18,26
0.4,4,7,2,933,8,19,28
0.4,4,7,3,1199,8,19,28
0.4,4,8,0,330,7,15,24
0.4,4,8,1,409,7,16,25
0.4,4,8,2,603,8,18,27
0.4,4,8,3,816,8,18,27
0.4,4,9,0,278,6,12,24
0.4,4,9,1,328,6,13,25
0.4,4,9,2,485,7,15,27
0.4,4,9,3,545,7,15,27
0.4,4,10,0,97,5,8,24
0.4,4,10,1,117,5,8,24
0.4,4,10,2,163,7,11,26
0.4,4,10,3,287,7,13,26
0.4,5,5,0,2977,9,23,29
0.4,5,5,1,5000,9,23,29
0.4,5,5,2,5000,7,15,27
0.4,5,5,3,5000,0,3,24
0.4,5,6,0,1790,9,22,29
0.4,5,6,1,1891,9,22,29
0.4,5,6,2,2073,9,22,29
0.4,5,6,3,2519,9,22,29
0.4,5,7,0,450,8,17,25
0.4,5,7,1,587,8,18,26
0.4,5,7,2,934,8,19,28
0.4,5,7,3,1200,8,19,28
0.4,5,8,0,319,7,14,24
0.4,5,8,1,383,7,15,25
0.4,5,8,2,547,8,17,27
0.4,5,8,3,626,8,17,27
0.4,5,9,0,280,7,14,24
0.4,5,9,1,330,7,15,25
0.4,5,9,2,491,8,17,27
0.4,5,9,3,552,8,17,27
0.4,5,10,0,97,5,8,24
0.4,5,10,1,117,5,8,24
0.4,5,10,2,163,7,11,26
0.4,5,10,3,287,7,13,26
