QGS1:			A pilot study using machine learning and domain knowledge to facilitate comparative effectiveness review updating	
				A pilot study using machine learning and domain knowledge to facilitate comparative effectiveness review updating	
				Machine learning in lung sound analysis: A systematic review	
				Building the informatics infrastructure for comparative effectiveness research (CER): A review of the literature	

QGS2:			A comparison of automated training-by-example selection algorithms for Evidence Based Software Engineering	
				Tools to support systematic literature reviews in software engineering: A mapping study	
				Analysing the use of graphs to represent the results of systematic reviews in software engineering	
				Automated confidence ranked classification of randomized controlled trial articles: An aid to evidence-based medicine	

QGS3:			A method to support search string building in systematic literature reviews through visual text mining	
				A method to support search string building in systematic literature reviews through visual text mining	
				Citation analysis as a literature search method for systematic reviews	
				Using visual text mining to support the study selection activity in systematic literature reviews	

QGS4:			A new algorithm for reducing the workload of experts in performing systematic reviews	
				Reducing systematic review workload through certainty-based screening	
				A systematic review of multi-label feature selection and a new method based on label construction	
				Pinpointing needles in giant haystacks: Use of text mining to reduce impractical screening workload in extremely large scoping reviews	

QGS5:			A new iterative method to reduce workload in systematic review process	
				A systematic review of multi-label feature selection and a new method based on label construction	
				A framework for applying process mining techniques in software process assessments	
				Citation analysis as a literature search method for systematic reviews	

QGS6:			A text-mining framework for supporting systematic reviews	
				SparkText: Biomedical text mining on big data framework	
				Supporting systematic reviews using LDA-based document representations	
				Testing a citation and text-based framework for retrieving publications for literature reviews	

QGS7:			A prospective evaluation of an automated classification system to support evidence-based medicine and systematic review	
				Automatic text classification to support systematic reviews in medicine	
				Automated confidence ranked classification of randomized controlled trial articles: An aid to evidence-based medicine	
				Evaluation of a rule-based method for epidemiological document classification towards the automation of systematic reviews	

QGS8:			A visual analysis approach to update systematic reviews	
				A visual analysis approach to update systematic reviews	
				A visual analysis approach to validate the selection review of primary studies in systematic reviews	
				An experience report on update of systematic literature reviews	

QGS9:			A visual analysis approach to validate the selection review of primary studies in systematic reviews	
				A visual analysis approach to validate the selection review of primary studies in systematic reviews	
				A visual analysis approach to update systematic reviews	
				Arabic text classification methods: Systematic literature review of primary studies	

QGS10:			A visual text mining approach for systematic reviews	
				A visual analysis approach to update systematic reviews	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				A visual analysis approach to validate the selection review of primary studies in systematic reviews	

QGS11:			An approach based on visual text mining to support categorization and classification in the systematic mapping	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				A visual analysis approach to update systematic reviews	
				A method to support search string building in systematic literature reviews through visual text mining	

QGS12:			An extension of the systematic literature review process with visual text mining: a case study on software engineering	
				Tools to support systematic literature reviews in software engineering: A mapping study	
				Using visual text mining to support the study selection activity in systematic literature reviews	
				A framework for applying process mining techniques in software process assessments	

QGS13:			An svm-based high-quality article classifier for systematic reviews	
				An SVM-based high-quality article classifier for systematic reviews	
				Using ontology-based semantic similarity to facilitate the article screening process for systematic reviews	
				Improving the performance of text categorization models used for the selection of high quality articles	

QGS14:			Active learning for biomedical citation screening	
				Topic detection using paragraph vectors to support active learning in systematic reviews	
				Reproducibility of studies on text mining for citation screening in systematic reviews: Evaluation and checklist	
				A critical analysis of studies that address the use of text mining for citation screening in systematic reviews	

QGS15:			Automatic text classification to support systematic reviews in medicine	
				Automatic text classification to support systematic reviews in medicine	
				Automatic endpoint detection to support the systematic review process	
				A systematic literature review and classification of knowledge discovery in traditional medicine	

QGS16:			Automatically locating results to support systematic reviews in software engineering	
				Analysing the use of graphs to represent the results of systematic reviews in software engineering	
				Tools to support systematic literature reviews in software engineering: A mapping study	
				'Clustering' documents automatically to support scoping reviews of research: a case study	

