min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.4,1,2,0,5000,0,0
0.4,1,2,1,5000,0,0
0.4,1,2,2,5000,0,0
0.4,1,2,3,5000,0,0
0.4,1,3,0,5000,0,0
0.4,1,3,1,5000,0,0
0.4,1,3,2,5000,0,0
0.4,1,3,3,5000,0,0
0.4,1,4,0,5000,0,0
0.4,1,4,1,5000,0,0
0.4,1,4,2,5000,0,0
0.4,1,4,3,5000,0,0
0.4,1,5,0,5000,0,0
0.4,1,5,1,5000,0,0
0.4,1,5,2,5000,0,0
0.4,1,5,3,5000,0,0
0.4,1,6,0,5000,0,0
0.4,1,6,1,5000,0,0
0.4,1,6,2,5000,0,0
0.4,1,6,3,5000,0,0
0.4,1,7,0,5000,0,0
0.4,1,7,1,5000,0,0
0.4,1,7,2,5000,0,0
0.4,1,7,3,5000,0,0
0.4,1,8,0,5000,0,0
0.4,1,8,1,5000,0,0
0.4,1,8,2,5000,0,0
0.4,1,8,3,5000,0,0
0.4,1,9,0,5000,0,0
0.4,1,9,1,5000,0,0
0.4,1,9,2,5000,0,0
0.4,1,9,3,5000,0,0
0.4,1,10,0,5000,0,0
0.4,1,10,1,5000,0,0
0.4,1,10,2,5000,0,0
0.4,1,10,3,5000,0,0
0.4,2,2,0,5000,0,0
0.4,2,2,1,5000,0,0
0.4,2,2,2,5000,0,0
0.4,2,2,3,5000,0,0
0.4,2,3,0,5000,0,0
0.4,2,3,1,5000,0,0
0.4,2,3,2,5000,0,0
0.4,2,3,3,5000,0,0
0.4,2,4,0,5000,0,0
0.4,2,4,1,5000,0,0
0.4,2,4,2,5000,0,0
0.4,2,4,3,5000,0,0
0.4,2,5,0,5000,0,0
0.4,2,5,1,5000,0,0
0.4,2,5,2,5000,0,0
0.4,2,5,3,5000,0,0
0.4,2,6,0,5000,0,0
0.4,2,6,1,5000,0,0
0.4,2,6,2,5000,0,0
0.4,2,6,3,5000,0,0
0.4,2,7,0,5000,0,0
0.4,2,7,1,5000,0,0
0.4,2,7,2,5000,0,0
0.4,2,7,3,5000,0,0
0.4,2,8,0,5000,0,0
0.4,2,8,1,5000,0,0
0.4,2,8,2,5000,0,0
0.4,2,8,3,5000,0,0
0.4,2,9,0,5000,0,0
0.4,2,9,1,-1,0,0
0.4,2,9,2,5000,0,0
0.4,2,9,3,5000,0,0
0.4,2,10,0,5000,0,0
0.4,2,10,1,5000,0,0
0.4,2,10,2,5000,0,0
0.4,2,10,3,5000,0,0
0.4,3,2,0,5000,0,0
0.4,3,2,1,5000,0,0
0.4,3,2,2,5000,0,0
0.4,3,2,3,-1,0,0
0.4,3,3,0,5000,0,0
0.4,3,3,1,5000,0,0
0.4,3,3,2,5000,0,0
0.4,3,3,3,5000,0,0
0.4,3,4,0,5000,0,0
0.4,3,4,1,5000,0,0
0.4,3,4,2,5000,0,0
0.4,3,4,3,5000,0,0
0.4,3,5,0,5000,0,0
0.4,3,5,1,5000,0,0
0.4,3,5,2,5000,0,0
0.4,3,5,3,5000,0,0
0.4,3,6,0,5000,0,0
0.4,3,6,1,5000,0,0
0.4,3,6,2,5000,0,0
0.4,3,6,3,5000,0,0
0.4,3,7,0,5000,0,0
0.4,3,7,1,5000,0,0
0.4,3,7,2,5000,0,0
0.4,3,7,3,5000,0,0
0.4,3,8,0,5000,0,0
0.4,3,8,1,5000,0,0
0.4,3,8,2,5000,0,0
0.4,3,8,3,5000,0,0
0.4,3,9,0,5000,0,0
0.4,3,9,1,5000,0,0
0.4,3,9,2,5000,0,0
0.4,3,9,3,5000,0,0
0.4,3,10,0,5000,0,0
0.4,3,10,1,5000,0,0
0.4,3,10,2,5000,0,0
0.4,3,10,3,5000,0,0
0.4,4,2,0,5000,0,0
0.4,4,2,1,5000,0,0
0.4,4,2,2,5000,0,0
0.4,4,2,3,5000,0,0
0.4,4,3,0,5000,0,0
0.4,4,3,1,5000,0,0
0.4,4,3,2,5000,0,0
0.4,4,3,3,5000,0,0
0.4,4,4,0,5000,0,0
0.4,4,4,1,5000,0,0
0.4,4,4,2,5000,0,0
0.4,4,4,3,5000,0,0
0.4,4,5,0,5000,0,0
0.4,4,5,1,5000,0,0
0.4,4,5,2,5000,0,0
0.4,4,5,3,5000,0,0
0.4,4,6,0,5000,0,0
0.4,4,6,1,5000,0,0
0.4,4,6,2,5000,0,0
0.4,4,6,3,5000,0,0
0.4,4,7,0,5000,0,0
0.4,4,7,1,5000,0,0
0.4,4,7,2,5000,0,0
0.4,4,7,3,5000,0,0
0.4,4,8,0,5000,0,0
0.4,4,8,1,5000,0,0
0.4,4,8,2,5000,0,0
0.4,4,8,3,5000,0,0
0.4,4,9,0,5000,0,0
0.4,4,9,1,5000,0,0
0.4,4,9,2,5000,0,0
0.4,4,9,3,5000,0,0
0.4,4,10,0,5000,0,0
0.4,4,10,1,5000,0,0
0.4,4,10,2,5000,0,0
0.4,4,10,3,5000,0,0
