min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,230,1,4,12
0.1,1,5,1,3000,0,1,12
0.1,1,5,2,3000,0,1,12
0.1,1,5,3,3000,0,0,0
0.1,1,6,0,24,1,3,12
0.1,1,6,1,2652,2,4,15
0.1,1,6,2,3000,1,2,15
0.1,1,6,3,3000,0,1,12
0.1,1,7,0,3,1,2,12
0.1,1,7,1,60,1,2,12
0.1,1,7,2,920,1,4,12
0.1,1,7,3,3000,1,2,15
0.1,1,8,0,3,1,2,12
0.1,1,8,1,11,1,2,12
0.1,1,8,2,76,1,4,12
0.1,1,8,3,80,1,4,12
0.1,1,9,0,3,1,2,12
0.1,1,9,1,9,1,2,12
0.1,1,9,2,50,1,3,12
0.1,1,9,3,53,1,3,12
0.1,1,10,0,3,1,2,12
0.1,1,10,1,8,1,2,12
0.1,1,10,2,30,1,3,12
0.1,1,10,3,33,1,3,12
0.1,2,5,0,275,2,5,12
0.1,2,5,1,3000,1,2,15
0.1,2,5,2,3000,0,0,0
0.1,2,5,3,3000,0,0,0
0.1,2,6,0,175,2,4,12
0.1,2,6,1,3000,1,2,15
0.1,2,6,2,3000,0,1,12
0.1,2,6,3,-1,0,1,12
0.1,2,7,0,5,1,1,12
0.1,2,7,1,122,1,2,12
0.1,2,7,2,3000,1,4,12
0.1,2,7,3,3000,0,1,12
0.1,2,8,0,2,0,0,0
0.1,2,8,1,14,0,0,0
0.1,2,8,2,749,0,0,0
0.1,2,8,3,2283,0,0,0
0.1,2,9,0,0,0,0,0
0.1,2,9,1,3,0,0,0
0.1,2,9,2,3,0,0,0
0.1,2,9,3,3,0,0,0
0.1,2,10,0,0,0,0,0
0.1,2,10,1,3,0,0,0
0.1,2,10,2,3,0,0,0
0.1,2,10,3,3,0,0,0
0.1,3,5,0,320,2,5,12
0.1,3,5,1,3000,1,2,15
0.1,3,5,2,3000,0,0,0
0.1,3,5,3,3000,0,0,0
0.1,3,6,0,176,2,4,12
0.1,3,6,1,3000,1,2,15
0.1,3,6,2,3000,0,1,12
0.1,3,6,3,3000,0,0,0
0.1,3,7,0,3,1,1,12
0.1,3,7,1,108,1,2,12
0.1,3,7,2,3000,1,4,12
0.1,3,7,3,3000,0,1,12
0.1,3,8,0,2,0,0,0
0.1,3,8,1,14,0,0,0
0.1,3,8,2,749,0,0,0
0.1,3,8,3,2283,0,0,0
0.1,3,9,0,0,0,0,0
0.1,3,9,1,3,0,0,0
0.1,3,9,2,3,0,0,0
0.1,3,9,3,3,0,0,0
0.1,3,10,0,0,0,0,0
0.1,3,10,1,3,0,0,0
0.1,3,10,2,3,0,0,0
0.1,3,10,3,3,0,0,0
0.1,4,5,0,316,3,5,15
0.1,4,5,1,-1,3,5,15
0.1,4,5,2,-1,3,5,15
0.1,4,5,3,-1,3,5,15
0.1,4,6,0,146,3,5,15
0.1,4,6,1,-1,3,5,15
0.1,4,6,2,-1,3,5,15
0.1,4,6,3,-1,3,5,15
0.1,4,7,0,28,2,2,15
0.1,4,7,1,-1,2,2,15
0.1,4,7,2,251,1,1,3
0.1,4,7,3,263,1,1,3
0.1,4,8,0,20,2,2,15
0.1,4,8,1,-1,2,2,15
0.1,4,8,2,96,1,1,3
0.1,4,8,3,102,1,1,3
0.1,4,9,0,7,2,2,15
0.1,4,9,1,-1,2,2,15
0.1,4,9,2,96,1,1,3
