min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.4,1,5,0,1379,5,29,40
0.4,1,5,1,5000,0,2,39
0.4,1,5,2,5000,0,2,39
0.4,1,5,3,5000,0,1,39
0.4,1,6,0,784,4,25,40
0.4,1,6,1,5000,0,7,39
0.4,1,6,2,5000,0,2,39
0.4,1,6,3,5000,0,2,39
0.4,1,7,0,445,1,16,40
0.4,1,7,1,5000,1,11,40
0.4,1,7,2,5000,0,3,39
0.4,1,7,3,5000,0,1,39
0.4,1,8,0,149,1,14,40
0.4,1,8,1,1773,2,19,40
0.4,1,8,2,3081,2,20,40
0.4,1,8,3,5000,2,17,40
0.4,1,9,0,149,1,14,40
0.4,1,9,1,1773,2,19,40
0.4,1,9,2,3081,2,20,40
0.4,1,9,3,5000,2,17,40
0.4,1,10,0,94,1,13,40
0.4,1,10,1,329,1,16,40
0.4,1,10,2,354,1,16,40
0.4,1,10,3,524,1,16,40
0.4,2,5,0,1674,9,32,40
0.4,2,5,1,5000,0,8,39
0.4,2,5,2,5000,0,1,39
0.4,2,5,3,5000,0,1,39
0.4,2,6,0,808,9,29,40
0.4,2,6,1,5000,4,19,40
0.4,2,6,2,5000,0,2,39
0.4,2,6,3,5000,0,1,39
0.4,2,7,0,671,6,21,40
0.4,2,7,1,2704,6,24,40
0.4,2,7,2,5000,0,1,39
0.4,2,7,3,5000,0,0,0
0.4,2,8,0,608,6,16,39
0.4,2,8,1,1845,6,20,39
0.4,2,8,2,5000,0,2,39
0.4,2,8,3,5000,0,1,39
0.4,2,9,0,201,4,11,39
0.4,2,9,1,627,6,18,39
0.4,2,9,2,1924,6,19,39
0.4,2,9,3,2887,6,24,40
0.4,2,10,0,121,3,8,39
0.4,2,10,1,306,3,9,39
0.4,2,10,2,1023,5,14,39
0.4,2,10,3,1937,5,20,40
0.4,3,5,0,5000,3,19,41
0.4,3,5,1,5000,0,2,39
0.4,3,5,2,5000,0,1,39
0.4,3,5,3,5000,0,1,39
0.4,3,6,0,3846,6,24,40
0.4,3,6,1,5000,0,3,39
0.4,3,6,2,5000,0,0,0
0.4,3,6,3,5000,0,0,0
0.4,3,7,0,1502,6,21,39
0.4,3,7,1,2818,6,23,39
0.4,3,7,2,5000,0,3,39
0.4,3,7,3,-1,0,3,39
0.4,3,8,0,640,6,12,39
0.4,3,8,1,1427,6,15,39
0.4,3,8,2,5000,0,2,39
0.4,3,8,3,-1,0,2,39
0.4,3,9,0,206,4,6,39
0.4,3,9,1,729,6,12,39
0.4,3,9,2,-1,6,12,39
0.4,3,9,3,-1,6,12,39
0.4,3,10,0,113,3,4,39
0.4,3,10,1,257,3,5,39
0.4,3,10,2,787,5,8,39
0.4,3,10,3,1249,5,10,39
0.4,4,5,0,5000,6,27,41
0.4,4,5,1,5000,0,2,39
0.4,4,5,2,-1,0,2,39
0.4,4,5,3,5000,0,1,39
0.4,4,6,0,3364,9,34,40
0.4,4,6,1,5000,0,4,39
0.4,4,6,2,5000,0,1,39
0.4,4,6,3,5000,0,1,39
0.4,4,7,0,1440,6,25,40
0.4,4,7,1,3751,6,27,40
0.4,4,7,2,5000,0,2,39
0.4,4,7,3,5000,0,1,39
0.4,4,8,0,652,6,20,40
0.4,4,8,1,1155,6,23,40
0.4,4,8,2,3890,6,26,40
0.4,4,8,3,4975,7,27,40
0.4,4,9,0,209,4,11,39
0.4,4,9,1,631,6,18,39
0.4,4,9,2,1935,6,19,39
0.4,4,9,3,2900,6,24,40
0.4,4,10,0,122,4,6,39
0.4,4,10,1,347,4,9,39
0.4,4,10,2,1292,5,11,39
0.4,4,10,3,2120,5,18,40
0.4,5,5,0,5000,0,10,39
0.4,5,5,1,5000,0,8,39
0.4,5,5,2,5000,0,1,39
0.4,5,5,3,5000,0,1,39
0.4,5,6,0,2568,6,27,40
0.4,5,6,1,4476,7,30,40
0.4,5,6,2,5000,0,2,39
0.4,5,6,3,5000,0,1,39
0.4,5,7,0,755,4,15,39
0.4,5,7,1,2275,7,24,39
0.4,5,7,2,5000,0,2,39
0.4,5,7,3,5000,0,1,39
0.4,5,8,0,274,4,13,39
0.4,5,8,1,1750,7,22,39
0.4,5,8,2,5000,0,2,39
0.4,5,8,3,5000,0,1,39
0.4,5,9,0,162,4,8,39
0.4,5,9,1,1050,4,13,39
0.4,5,9,2,5000,0,2,39
0.4,5,9,3,5000,0,1,39
0.4,5,10,0,95,4,7,39
0.4,5,10,1,493,4,10,39
0.4,5,10,2,5000,3,10,39
0.4,5,10,3,5000,0,3,39
