min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,670,3,20,40
0.1,1,5,1,2000,0,2,39
0.1,1,5,2,2000,0,0,0
0.1,1,5,3,2000,0,0,0
0.1,1,6,0,14,1,1,39
0.1,1,6,1,211,1,1,39
0.1,1,6,2,2000,1,1,39
0.1,1,6,3,2000,1,1,39
0.1,1,7,0,7,1,1,39
0.1,1,7,1,18,1,1,39
0.1,1,7,2,58,1,1,39
0.1,1,7,3,71,1,1,39
0.1,1,8,0,1,0,0,0
0.1,1,8,1,1,0,0,0
0.1,1,8,2,1,0,0,0
0.1,1,8,3,1,0,0,0
0.1,1,9,0,1,0,0,0
0.1,1,9,1,1,0,0,0
0.1,1,9,2,1,0,0,0
0.1,1,9,3,1,0,0,0
0.1,1,10,0,1,0,0,0
0.1,1,10,1,1,0,0,0
0.1,1,10,2,1,0,0,0
0.1,1,10,3,1,0,0,0
0.1,2,5,0,1797,2,7,39
0.1,2,5,1,2000,1,2,39
0.1,2,5,2,2000,0,0,0
0.1,2,5,3,2000,0,0,0
0.1,2,6,0,50,2,3,39
0.1,2,6,1,63,2,3,39
0.1,2,6,2,112,2,3,39
0.1,2,6,3,113,2,3,39
0.1,2,7,0,50,2,3,39
0.1,2,7,1,57,2,3,39
0.1,2,7,2,78,2,3,39
0.1,2,7,3,97,2,3,39
0.1,2,8,0,14,2,3,39
0.1,2,8,1,47,2,3,39
0.1,2,8,2,47,2,3,39
0.1,2,8,3,47,2,3,39
0.1,2,9,0,7,1,1,39
0.1,2,9,1,47,2,3,39
0.1,2,9,2,47,2,3,39
0.1,2,9,3,47,2,3,39
0.1,2,10,0,4,1,1,39
0.1,2,10,1,9,1,2,39
0.1,2,10,2,13,1,2,39
0.1,2,10,3,14,1,2,39
0.1,3,5,0,526,4,26,40
0.1,3,5,1,2000,3,20,40
0.1,3,5,2,2000,0,1,39
0.1,3,5,3,2000,0,1,39
0.1,3,6,0,227,3,18,40
0.1,3,6,1,2000,3,20,40
0.1,3,6,2,2000,0,1,39
0.1,3,6,3,2000,0,1,39
0.1,3,7,0,54,1,5,39
0.1,3,7,1,400,1,7,39
0.1,3,7,2,2000,0,1,39
0.1,3,7,3,2000,0,0,0
0.1,3,8,0,3,1,2,39
0.1,3,8,1,37,1,2,39
0.1,3,8,2,41,1,2,39
0.1,3,8,3,42,1,2,39
0.1,3,9,0,3,1,2,39
0.1,3,9,1,37,1,2,39
0.1,3,9,2,41,1,2,39
0.1,3,9,3,42,1,2,39
0.1,3,10,0,1,0,0,0
0.1,3,10,1,37,1,2,39
0.1,3,10,2,41,1,2,39
0.1,3,10,3,42,1,2,39
0.1,4,5,0,2000,2,3,39
0.1,4,5,1,2000,0,1,39
0.1,4,5,2,2000,0,0,0
0.1,4,5,3,2000,0,0,0
0.1,4,6,0,517,2,3,39
0.1,4,6,1,2000,0,2,39
0.1,4,6,2,2000,0,1,39
0.1,4,6,3,2000,0,0,0
0.1,4,7,0,125,2,3,39
0.1,4,7,1,2000,0,2,39
0.1,4,7,2,2000,0,1,39
