min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,2000,2,19,41
0.1,1,5,1,2000,0,1,39
0.1,1,5,2,2000,0,0,0
0.1,1,5,3,2000,0,0,0
0.1,1,6,0,1483,5,30,40
0.1,1,6,1,2000,1,8,39
0.1,1,6,2,2000,0,2,39
0.1,1,6,3,2000,0,2,39
0.1,1,7,0,240,2,5,39
0.1,1,7,1,1230,2,6,39
0.1,1,7,2,2000,1,4,39
0.1,1,7,3,2000,0,3,39
0.1,1,8,0,240,2,5,39
0.1,1,8,1,1230,2,6,39
0.1,1,8,2,2000,1,4,39
0.1,1,8,3,2000,0,3,39
0.1,1,9,0,32,2,5,39
0.1,1,9,1,52,2,6,39
0.1,1,9,2,54,2,6,39
0.1,1,9,3,79,2,6,39
0.1,1,10,0,8,2,5,39
0.1,1,10,1,21,2,6,39
0.1,1,10,2,34,2,6,39
0.1,1,10,3,62,2,6,39
0.1,2,5,0,1803,5,30,40
0.1,2,5,1,2000,0,1,39
0.1,2,5,2,2000,0,1,39
0.1,2,5,3,2000,0,1,39
0.1,2,6,0,1229,4,21,40
0.1,2,6,1,2000,0,0,0
0.1,2,6,2,2000,0,0,0
0.1,2,6,3,2000,0,0,0
0.1,2,7,0,244,3,6,39
0.1,2,7,1,1239,3,7,39
0.1,2,7,2,2000,1,4,39
0.1,2,7,3,2000,0,3,39
0.1,2,8,0,32,2,5,39
0.1,2,8,1,52,2,6,39
0.1,2,8,2,54,2,6,39
0.1,2,8,3,79,2,6,39
0.1,2,9,0,32,2,5,39
0.1,2,9,1,52,2,6,39
0.1,2,9,2,54,2,6,39
0.1,2,9,3,79,2,6,39
0.1,2,10,0,15,1,3,39
0.1,2,10,1,40,1,4,39
0.1,2,10,2,43,1,5,39
0.1,2,10,3,64,1,5,39
0.1,3,5,0,1907,5,31,40
0.1,3,5,1,2000,1,8,39
0.1,3,5,2,2000,0,2,39
0.1,3,5,3,2000,0,2,39
0.1,3,6,0,1484,5,30,40
0.1,3,6,1,2000,1,8,39
0.1,3,6,2,2000,0,2,39
0.1,3,6,3,2000,0,2,39
0.1,3,7,0,1484,5,30,40
0.1,3,7,1,2000,1,8,39
0.1,3,7,2,2000,0,2,39
0.1,3,7,3,2000,0,2,39
0.1,3,8,0,156,5,12,39
0.1,3,8,1,212,5,13,39
0.1,3,8,2,212,5,13,39
0.1,3,8,3,217,5,13,39
0.1,3,9,0,112,5,10,39
0.1,3,9,1,156,5,12,39
0.1,3,9,2,156,5,12,39
0.1,3,9,3,161,5,12,39
0.1,3,10,0,54,4,8,39
0.1,3,10,1,70,4,10,39
0.1,3,10,2,71,4,10,39
0.1,3,10,3,75,4,10,39
0.1,4,5,0,1907,5,31,40
0.1,4,5,1,2000,1,8,39
0.1,4,5,2,2000,0,2,39
0.1,4,5,3,2000,0,2,39
0.1,4,6,0,1484,5,30,40
0.1,4,6,1,2000,1,8,39
0.1,4,6,2,2000,0,2,39
0.1,4,6,3,2000,0,2,39
0.1,4,7,0,1484,5,30,40
0.1,4,7,1,2000,1,8,39
0.1,4,7,2,2000,0,2,39
0.1,4,7,3,2000,0,2,39
0.1,4,8,0,156,5,12,39
0.1,4,8,1,212,5,13,39
0.1,4,8,2,212,5,13,39
0.1,4,8,3,217,5,13,39
0.1,4,9,0,112,5,10,39
