min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,0,1
0.1,1,2,1,5000,0,0
0.1,1,2,2,5000,0,0
0.1,1,2,3,5000,0,0
0.1,1,3,0,5000,0,86
0.1,1,3,1,5000,0,73
0.1,1,3,2,5000,0,64
0.1,1,3,3,5000,0,34
0.1,1,4,0,5000,0,118
0.1,1,4,1,5000,0,117
0.1,1,4,2,5000,0,117
0.1,1,4,3,5000,0,114
0.1,1,5,0,3529,4,109
0.1,1,5,1,3673,4,111
0.1,1,5,2,4033,4,120
0.1,1,5,3,4781,4,152
0.1,1,6,0,1888,2,82
0.1,1,6,1,2477,3,87
0.1,1,6,2,3113,4,106
0.1,1,6,3,4518,4,150
0.1,1,7,0,243,0,14
0.1,1,7,1,312,1,16
0.1,1,7,2,372,1,18
0.1,1,7,3,531,1,25
0.1,1,8,0,163,0,8
0.1,1,8,1,210,1,11
0.1,1,8,2,245,1,13
0.1,1,8,3,338,1,16
0.1,1,9,0,89,0,7
0.1,1,9,1,115,0,8
0.1,1,9,2,172,0,11
0.1,1,9,3,242,1,13
0.1,1,10,0,29,0,5
0.1,1,10,1,44,0,6
0.1,1,10,2,172,0,11
0.1,1,10,3,242,1,13
0.1,2,2,0,5000,0,2
0.1,2,2,1,5000,0,1
0.1,2,2,2,5000,0,1
0.1,2,2,3,5000,0,1
0.1,2,3,0,5000,0,30
0.1,2,3,1,5000,0,21
0.1,2,3,2,5000,0,14
0.1,2,3,3,5000,0,8
0.1,2,4,0,5000,0,113
0.1,2,4,1,5000,0,99
0.1,2,4,2,5000,0,80
0.1,2,4,3,5000,0,53
0.1,2,5,0,5000,0,123
0.1,2,5,1,5000,0,103
0.1,2,5,2,5000,0,89
0.1,2,5,3,5000,0,89
0.1,2,6,0,2029,5,79
0.1,2,6,1,2596,5,83
0.1,2,6,2,3991,7,124
0.1,2,6,3,5000,0,150
0.1,2,7,0,640,3,33
0.1,2,7,1,646,3,33
0.1,2,7,2,804,4,43
0.1,2,7,3,1026,4,54
0.1,2,8,0,549,2,31
0.1,2,8,1,549,2,31
0.1,2,8,2,692,3,41
0.1,2,8,3,899,3,52
0.1,2,9,0,138,2,12
0.1,2,9,1,177,2,13
0.1,2,9,2,679,3,41
0.1,2,9,3,865,3,52
0.1,2,10,0,43,2,5
0.1,2,10,1,51,2,6
0.1,2,10,2,149,3,15
0.1,2,10,3,205,3,18
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,5000,0,1
0.1,3,3,1,5000,0,1
0.1,3,3,2,5000,0,0
0.1,3,3,3,5000,0,0
0.1,3,4,0,5000,0,94
0.1,3,4,1,5000,0,74
