min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,841,4,27,132
0.1,1,5,1,3000,3,25,133
0.1,1,5,2,3000,3,15,132
0.1,1,5,3,3000,2,10,132
0.1,1,6,0,161,4,19,131
0.1,1,6,1,3000,11,49,131
0.1,1,6,2,3000,3,15,131
0.1,1,6,3,3000,3,18,131
0.1,1,7,0,140,2,17,131
0.1,1,7,1,3000,8,48,131
0.1,1,7,2,3000,4,29,131
0.1,1,7,3,3000,3,18,131
0.1,1,8,0,68,1,12,131
0.1,1,8,1,258,6,34,131
0.1,1,8,2,3000,6,38,131
0.1,1,8,3,3000,5,31,131
0.1,1,9,0,41,1,11,131
0.1,1,9,1,157,6,32,131
0.1,1,9,2,1658,6,36,131
0.1,1,9,3,3000,9,47,131
0.1,1,10,0,21,1,9,131
0.1,1,10,1,126,6,32,131
0.1,1,10,2,434,6,36,131
0.1,1,10,3,1630,9,47,131
0.1,2,5,0,3000,11,59,132
0.1,2,5,1,3000,2,21,131
0.1,2,5,2,3000,1,11,131
0.1,2,5,3,3000,1,8,131
0.1,2,6,0,838,8,39,132
0.1,2,6,1,3000,6,33,132
0.1,2,6,2,3000,3,19,131
0.1,2,6,3,3000,3,18,131
0.1,2,7,0,313,6,20,132
0.1,2,7,1,3000,6,27,132
0.1,2,7,2,3000,4,25,132
0.1,2,7,3,3000,2,24,131
0.1,2,8,0,83,6,18,131
0.1,2,8,1,888,6,25,131
0.1,2,8,2,3000,4,27,131
0.1,2,8,3,3000,3,18,131
0.1,2,9,0,48,5,14,131
0.1,2,9,1,203,5,19,131
0.1,2,9,2,3000,6,28,131
0.1,2,9,3,3000,4,24,131
0.1,2,10,0,33,3,9,131
0.1,2,10,1,116,5,16,131
0.1,2,10,2,1695,6,25,131
0.1,2,10,3,3000,6,27,131
0.1,3,5,0,2257,9,58,132
0.1,3,5,1,3000,3,23,132
0.1,3,5,2,3000,1,9,132
0.1,3,5,3,3000,1,5,132
0.1,3,6,0,764,7,47,132
0.1,3,6,1,3000,3,27,133
0.1,3,6,2,3000,3,20,132
0.1,3,6,3,3000,3,18,132
0.1,3,7,0,306,4,26,132
0.1,3,7,1,1607,8,47,132
0.1,3,7,2,3000,5,32,132
0.1,3,7,3,3000,4,36,133
0.1,3,8,0,48,4,13,131
0.1,3,8,1,436,8,38,131
0.1,3,8,2,3000,8,44,131
0.1,3,8,3,3000,4,34,131
0.1,3,9,0,25,4,9,131
0.1,3,9,1,191,5,20,131
0.1,3,9,2,2671,7,33,131
0.1,3,9,3,3000,5,42,131
0.1,3,10,0,16,3,5,131
0.1,3,10,1,152,5,17,131
0.1,3,10,2,421,6,22,131
0.1,3,10,3,1761,7,43,131
0.1,4,5,0,2256,11,64,132
0.1,4,5,1,3000,3,22,132
0.1,4,5,2,3000,1,9,132
0.1,4,5,3,3000,1,4,132
0.1,4,6,0,772,8,47,132
0.1,4,6,1,3000,4,27,133
0.1,4,6,2,3000,3,20,132
0.1,4,6,3,3000,3,17,132
0.1,4,7,0,157,7,27,131
0.1,4,7,1,3000,9,47,132
0.1,4,7,2,3000,3,25,132
0.1,4,7,3,3000,3,29,131
0.1,4,8,0,35,4,12,131
0.1,4,8,1,753,6,30,131
0.1,4,8,2,3000,4,26,131
0.1,4,8,3,3000,2,25,131
0.1,4,9,0,24,3,9,131
0.1,4,9,1,133,4,22,131
0.1,4,9,2,565,5,28,131
0.1,4,9,3,3000,7,43,131
0.1,4,10,0,17,3,6,131
0.1,4,10,1,87,4,18,131
0.1,4,10,2,320,5,27,131
0.1,4,10,3,1635,7,41,131
0.1,5,5,0,1804,9,53,132
0.1,5,5,1,3000,3,24,132
0.1,5,5,2,3000,1,6,132
0.1,5,5,3,3000,1,3,132
0.1,5,6,0,838,7,42,132
0.1,5,6,1,3000,2,28,133
0.1,5,6,2,3000,2,18,132
0.1,5,6,3,3000,2,10,132
0.1,5,7,0,173,4,22,131
0.1,5,7,1,3000,11,53,131
0.1,5,7,2,3000,2,15,131
0.1,5,7,3,3000,3,20,131
0.1,5,8,0,38,3,11,131
0.1,5,8,1,900,10,45,131
0.1,5,8,2,3000,5,27,131
0.1,5,8,3,3000,6,33,131
0.1,5,9,0,32,3,11,131
0.1,5,9,1,245,8,34,131
0.1,5,9,2,3000,9,38,131
0.1,5,9,3,3000,10,40,131
0.1,5,10,0,28,3,9,131
0.1,5,10,1,78,7,30,131
0.1,5,10,2,640,7,32,131
0.1,5,10,3,1866,9,38,131
0.2,1,5,0,841,4,27,132
