min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,443,19,48,131
0.1,1,5,1,3000,17,46,131
0.1,1,5,2,3000,5,15,131
0.1,1,5,3,3000,4,16,131
0.1,1,6,0,161,7,19,131
0.1,1,6,1,1565,12,32,131
0.1,1,6,2,3000,7,21,131
0.1,1,6,3,3000,4,13,131
0.1,1,7,0,140,7,17,131
0.1,1,7,1,1194,12,30,131
0.1,1,7,2,3000,8,25,131
0.1,1,7,3,3000,4,13,131
0.1,1,8,0,68,5,12,131
0.1,1,8,1,160,7,19,131
0.1,1,8,2,1636,7,22,131
0.1,1,8,3,3000,4,22,131
0.1,1,9,0,41,5,11,131
0.1,1,9,1,81,7,18,131
0.1,1,9,2,810,7,20,131
0.1,1,9,3,3000,10,35,131
0.1,1,10,0,10,1,4,131
0.1,1,10,1,81,7,18,131
0.1,1,10,2,809,7,20,131
0.1,1,10,3,3000,9,34,131
0.1,2,5,0,867,27,73,132
0.1,2,5,1,3000,21,61,132
0.1,2,5,2,3000,6,19,131
0.1,2,5,3,3000,5,10,133
0.1,2,6,0,535,19,61,132
0.1,2,6,1,3000,21,61,132
0.1,2,6,2,3000,6,19,131
0.1,2,6,3,3000,5,10,133
0.1,2,7,0,160,12,36,131
0.1,2,7,1,200,12,36,131
0.1,2,7,2,675,15,42,132
0.1,2,7,3,3000,12,31,133
0.1,2,8,0,98,12,33,131
0.1,2,8,1,110,12,33,131
0.1,2,8,2,553,14,41,132
0.1,2,8,3,3000,12,34,133
0.1,2,9,0,84,12,30,131
0.1,2,9,1,100,12,33,131
0.1,2,9,2,162,13,40,132
0.1,2,9,3,231,14,41,132
0.1,2,10,0,48,8,20,131
0.1,2,10,1,98,12,32,131
0.1,2,10,2,161,13,40,132
0.1,2,10,3,230,14,41,132
0.1,3,5,0,867,27,73,132
0.1,3,5,1,3000,21,61,132
0.1,3,5,2,3000,6,19,131
0.1,3,5,3,3000,5,10,133
0.1,3,6,0,220,14,41,131
0.1,3,6,1,3000,18,48,131
0.1,3,6,2,3000,7,20,131
0.1,3,6,3,3000,5,10,133
0.1,3,7,0,209,14,40,131
0.1,3,7,1,1998,22,55,131
0.1,3,7,2,3000,12,32,132
0.1,3,7,3,3000,6,21,133
0.1,3,8,0,167,14,39,131
0.1,3,8,1,199,14,39,131
0.1,3,8,2,660,19,60,132
0.1,3,8,3,696,19,60,132
0.1,3,9,0,68,8,24,131
0.1,3,9,1,128,11,32,131
0.1,3,9,2,467,16,49,132
0.1,3,9,3,503,16,50,132
0.1,3,10,0,44,6,20,131
0.1,3,10,1,71,8,27,131
0.1,3,10,2,123,9,33,132
0.1,3,10,3,176,10,34,132
0.1,4,5,0,1564,31,83,132
0.1,4,5,1,3000,21,58,132
0.1,4,5,2,3000,9,32,132
0.1,4,5,3,3000,1,1,131
0.1,4,6,0,597,19,49,132
0.1,4,6,1,3000,25,69,132
0.1,4,6,2,3000,13,38,133
0.1,4,6,3,3000,3,5,132
0.1,4,7,0,262,16,40,132
0.1,4,7,1,2119,23,61,132
0.1,4,7,2,3000,17,45,132
0.1,4,7,3,3000,5,12,132
0.1,4,8,0,175,13,31,132
0.1,4,8,1,918,19,53,132
0.1,4,8,2,2015,21,63,132
0.1,4,8,3,3000,14,47,133
0.1,4,9,0,83,9,20,132
0.1,4,9,1,390,16,41,132
0.1,4,9,2,1209,18,49,132
0.1,4,9,3,3000,14,40,133
0.1,4,10,0,73,9,20,132
0.1,4,10,1,329,15,39,132
0.1,4,10,2,1107,18,49,132
0.1,4,10,3,3000,22,64,133
0.1,5,5,0,2147,28,76,132
0.1,5,5,1,3000,21,59,132
0.1,5,5,2,3000,5,16,131
0.1,5,5,3,3000,1,1,131
0.1,5,6,0,634,21,57,132
0.1,5,6,1,3000,18,52,132
0.1,5,6,2,3000,5,20,131
0.1,5,6,3,3000,2,2,132
0.1,5,7,0,232,16,34,131
0.1,5,7,1,3000,21,59,132
0.1,5,7,2,3000,11,35,132
0.1,5,7,3,3000,2,4,132
0.1,5,8,0,121,12,26,131
0.1,5,8,1,2527,20,55,132
0.1,5,8,2,3000,11,34,132
0.1,5,8,3,3000,2,7,133
0.1,5,9,0,68,11,22,131
0.1,5,9,1,302,17,43,131
0.1,5,9,2,3000,23,58,131
0.1,5,9,3,3000,9,26,131
0.1,5,10,0,43,9,18,131
0.1,5,10,1,152,16,38,131
0.1,5,10,2,1431,20,49,131
0.1,5,10,3,3000,14,43,131
0.2,1,5,0,443,19,48,131
0.2,1,5,1,3000,17,46,131
0.2,1,5,2,3000,5,15,131
0.2,1,5,3,3000,4,16,131
0.2,1,6,0,161,7,19,131
0.2,1,6,1,1565,12,32,131
0.2,1,6,2,3000,7,21,131
0.2,1,6,3,3000,4,13,131
0.2,1,7,0,140,7,17,131
0.2,1,7,1,1194,12,30,131
0.2,1,7,2,3000,8,25,131
0.2,1,7,3,3000,4,13,131
0.2,1,8,0,68,5,12,131
0.2,1,8,1,160,7,19,131
0.2,1,8,2,1636,7,22,131
0.2,1,8,3,3000,4,22,131
0.2,1,9,0,41,5,11,131
0.2,1,9,1,81,7,18,131
0.2,1,9,2,810,7,20,131
0.2,1,9,3,3000,10,35,131
0.2,1,10,0,10,1,4,131
0.2,1,10,1,81,7,18,131
0.2,1,10,2,809,7,20,131
0.2,1,10,3,3000,9,34,131
0.2,2,5,0,1391,26,72,132
0.2,2,5,1,3000,26,71,132
0.2,2,5,2,3000,12,33,133
0.2,2,5,3,3000,5,11,133
0.2,2,6,0,552,17,48,132
0.2,2,6,1,1162,20,51,132
0.2,2,6,2,3000,14,39,132
