min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,784,8,25,40
0.1,1,5,1,2000,1,1,39
0.1,1,5,2,2000,0,0,0
0.1,1,5,3,2000,0,0,0
0.1,1,6,0,286,8,22,40
0.1,1,6,1,2000,1,1,39
0.1,1,6,2,2000,1,1,39
0.1,1,6,3,2000,1,1,39
0.1,1,7,0,162,8,21,40
0.1,1,7,1,1897,8,22,40
0.1,1,7,2,2000,8,22,40
0.1,1,7,3,2000,7,17,40
0.1,1,8,0,162,8,21,40
0.1,1,8,1,1897,8,22,40
0.1,1,8,2,1911,8,22,40
0.1,1,8,3,2000,8,20,40
0.1,1,9,0,162,8,21,40
0.1,1,9,1,1897,8,22,40
0.1,1,9,2,1911,8,22,40
0.1,1,9,3,2000,8,20,40
0.1,1,10,0,94,4,13,40
0.1,1,10,1,1897,8,22,40
0.1,1,10,2,1907,8,22,40
0.1,1,10,3,2000,8,20,40
0.1,2,5,0,1017,8,29,40
0.1,2,5,1,2000,1,1,39
0.1,2,5,2,2000,0,0,0
0.1,2,5,3,2000,0,0,0
0.1,2,6,0,721,8,28,40
0.1,2,6,1,2000,1,1,39
0.1,2,6,2,2000,1,1,39
0.1,2,6,3,2000,1,1,39
0.1,2,7,0,330,8,22,40
0.1,2,7,1,2000,1,1,39
0.1,2,7,2,2000,1,1,39
0.1,2,7,3,2000,1,1,39
0.1,2,8,0,187,8,21,40
0.1,2,8,1,2000,5,10,40
0.1,2,8,2,2000,4,7,39
0.1,2,8,3,2000,3,4,39
0.1,2,9,0,162,8,21,40
0.1,2,9,1,1897,8,22,40
0.1,2,9,2,1978,8,22,40
0.1,2,9,3,2000,7,17,40
0.1,2,10,0,82,4,8,39
0.1,2,10,1,689,6,14,40
0.1,2,10,2,865,6,14,40
0.1,2,10,3,1052,8,22,40
0.1,3,5,0,1425,8,24,40
0.1,3,5,1,2000,0,0,0
0.1,3,5,2,2000,0,0,0
0.1,3,5,3,2000,0,0,0
0.1,3,6,0,974,8,24,40
0.1,3,6,1,2000,0,0,0
0.1,3,6,2,2000,0,0,0
0.1,3,6,3,2000,0,0,0
0.1,3,7,0,214,8,21,40
0.1,3,7,1,2000,1,1,39
0.1,3,7,2,2000,1,1,39
