min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS,No. Total
0.1,1,5,0,784,5,25,40
0.1,1,5,1,2000,1,9,39
0.1,1,5,2,2000,1,1,39
0.1,1,5,3,2000,0,0,0
0.1,1,6,0,364,5,23,40
0.1,1,6,1,805,6,24,40
0.1,1,6,2,2000,6,25,40
0.1,1,6,3,2000,2,14,40
0.1,1,7,0,162,4,21,40
0.1,1,7,1,215,4,21,40
0.1,1,7,2,375,4,22,40
0.1,1,7,3,397,4,22,40
0.1,1,8,0,79,2,8,39
0.1,1,8,1,140,3,12,39
0.1,1,8,2,374,4,21,40
0.1,1,8,3,396,4,21,40
0.1,1,9,0,79,2,8,39
0.1,1,9,1,140,3,12,39
0.1,1,9,2,374,4,21,40
0.1,1,9,3,396,4,21,40
0.1,1,10,0,17,1,1,39
0.1,1,10,1,140,3,12,39
0.1,1,10,2,374,4,21,40
0.1,1,10,3,396,4,21,40
0.1,2,5,0,801,6,26,40
0.1,2,5,1,2000,1,9,39
0.1,2,5,2,2000,1,1,39
0.1,2,5,3,2000,0,0,0
0.1,2,6,0,304,5,23,40
0.1,2,6,1,630,5,24,40
0.1,2,6,2,2000,1,10,40
0.1,2,6,3,2000,1,4,39
0.1,2,7,0,168,5,22,40
0.1,2,7,1,258,5,22,40
0.1,2,7,2,434,5,23,40
0.1,2,7,3,466,5,23,40
0.1,2,8,0,164,5,22,40
0.1,2,8,1,227,5,22,40
0.1,2,8,2,403,5,23,40
0.1,2,8,3,427,5,23,40
0.1,2,9,0,29,2,4,39
0.1,2,9,1,215,4,21,40
0.1,2,9,2,379,4,22,40
0.1,2,9,3,401,4,22,40
0.1,2,10,0,15,1,2,39
0.1,2,10,1,118,3,15,40
0.1,2,10,2,204,3,18,40
0.1,2,10,3,253,3,18,40
0.1,3,5,0,1034,6,30,40
0.1,3,5,1,2000,1,9,39
0.1,3,5,2,2000,1,1,39
0.1,3,5,3,2000,0,0,0
0.1,3,6,0,1034,6,30,40
0.1,3,6,1,2000,2,17,40
0.1,3,6,2,2000,1,2,39
0.1,3,6,3,2000,1,1,39
0.1,3,7,0,170,5,7,39
0.1,3,7,1,2000,3,20,40
0.1,3,7,2,2000,1,2,39
0.1,3,7,3,2000,1,1,39
0.1,3,8,0,45,4,6,39
0.1,3,8,1,459,5,24,40
0.1,3,8,2,2000,5,25,40
0.1,3,8,3,2000,3,18,40
0.1,3,9,0,30,3,5,39
0.1,3,9,1,215,4,21,40
0.1,3,9,2,379,4,22,40
0.1,3,9,3,401,4,22,40
0.1,3,10,0,16,2,3,39
0.1,3,10,1,119,4,16,40
0.1,3,10,2,205,4,19,40
0.1,3,10,3,254,4,19,40
0.1,4,5,0,1908,6,32,40
0.1,4,5,1,2000,1,8,39
0.1,4,5,2,2000,1,1,39
0.1,4,5,3,2000,0,0,0
0.1,4,6,0,1904,6,32,40
0.1,4,6,1,2000,1,13,40
0.1,4,6,2,2000,1,2,39
0.1,4,6,3,2000,1,1,39
0.1,4,7,0,164,4,6,39
0.1,4,7,1,2000,3,20,40
0.1,4,7,2,2000,1,2,39
0.1,4,7,3,2000,1,1,39
0.1,4,8,0,42,3,5,39
0.1,4,8,1,457,4,23,40
0.1,4,8,2,2000,4,20,40
0.1,4,8,3,2000,2,16,40
0.1,4,9,0,21,2,3,39
0.1,4,9,1,223,4,18,40
0.1,4,9,2,1242,4,21,40
0.1,4,9,3,2000,4,21,40
0.1,4,10,0,16,2,3,39
0.1,4,10,1,121,4,16,40
0.1,4,10,2,270,4,19,40
0.1,4,10,3,488,4,19,40
0.1,5,5,0,1908,6,32,40
0.1,5,5,1,2000,1,8,39
0.1,5,5,2,2000,1,1,39
0.1,5,5,3,2000,0,0,0
0.1,5,6,0,1904,6,32,40
0.1,5,6,1,2000,1,13,40
0.1,5,6,2,2000,1,2,39
0.1,5,6,3,2000,1,1,39
0.1,5,7,0,191,4,7,39
0.1,5,7,1,2000,3,21,40
0.1,5,7,2,2000,1,2,39
0.1,5,7,3,2000,1,1,39
0.1,5,8,0,46,3,6,39
0.1,5,8,1,461,4,24,40
0.1,5,8,2,2000,3,20,40
0.1,5,8,3,2000,2,17,40
0.1,5,9,0,21,2,3,39
0.1,5,9,1,224,4,18,40
0.1,5,9,2,1245,4,21,40
0.1,5,9,3,2000,4,21,40
0.1,5,10,0,16,2,3,39
0.1,5,10,1,121,4,16,40
0.1,5,10,2,270,4,19,40
0.1,5,10,3,488,4,19,40
0.2,1,5,0,784,5,25,40
0.2,1,5,1,2000,1,9,39
0.2,1,5,2,2000,1,1,39
0.2,1,5,3,2000,0,0,0
0.2,1,6,0,364,5,23,40
0.2,1,6,1,805,6,24,40
0.2,1,6,2,2000,6,25,40
0.2,1,6,3,2000,2,14,40
0.2,1,7,0,162,4,21,40
0.2,1,7,1,215,4,21,40
0.2,1,7,2,375,4,22,40
0.2,1,7,3,397,4,22,40
0.2,1,8,0,79,2,8,39
0.2,1,8,1,140,3,12,39
0.2,1,8,2,374,4,21,40
0.2,1,8,3,396,4,21,40
0.2,1,9,0,79,2,8,39
0.2,1,9,1,140,3,12,39
0.2,1,9,2,374,4,21,40
0.2,1,9,3,396,4,21,40
0.2,1,10,0,17,1,1,39
0.2,1,10,1,140,3,12,39
0.2,1,10,2,374,4,21,40
0.2,1,10,3,396,4,21,40
0.2,2,5,0,2000,3,21,40
0.2,2,5,1,2000,1,8,39
0.2,2,5,2,2000,1,4,39
0.2,2,5,3,2000,1,2,39
