min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,0,0
0.1,1,2,1,5000,0,0
0.1,1,2,2,5000,0,0
0.1,1,2,3,5000,0,0
0.1,1,3,0,5000,0,0
0.1,1,3,1,5000,0,0
0.1,1,3,2,5000,0,0
0.1,1,3,3,5000,0,0
0.1,1,4,0,2038,6,14
0.1,1,4,1,5000,6,14
0.1,1,4,2,5000,0,0
0.1,1,4,3,5000,0,0
0.1,1,5,0,707,6,14
0.1,1,5,1,1145,6,15
0.1,1,5,2,1808,6,16
0.1,1,5,3,3200,6,16
0.1,1,6,0,75,2,6
0.1,1,6,1,112,2,6
0.1,1,6,2,186,2,6
0.1,1,6,3,287,2,6
0.1,1,7,0,38,1,4
0.1,1,7,1,55,1,4
0.1,1,7,2,103,1,4
0.1,1,7,3,122,1,4
0.1,1,8,0,14,1,4
0.1,1,8,1,27,1,4
0.1,1,8,2,39,1,4
0.1,1,8,3,48,1,4
0.1,1,9,0,10,0,3
0.1,1,9,1,13,0,3
0.1,1,9,2,25,1,4
0.1,1,9,3,33,1,4
0.1,1,10,0,9,0,3
0.1,1,10,1,12,0,3
0.1,1,10,2,23,1,4
0.1,1,10,3,30,1,4
0.1,2,2,0,5000,0,0
0.1,2,2,1,5000,0,0
0.1,2,2,2,5000,0,0
0.1,2,2,3,5000,0,0
0.1,2,3,0,5000,0,0
0.1,2,3,1,5000,0,0
0.1,2,3,2,5000,0,0
0.1,2,3,3,5000,0,0
0.1,2,4,0,2093,8,17
0.1,2,4,1,5000,8,17
0.1,2,4,2,5000,0,1
0.1,2,4,3,5000,0,0
0.1,2,5,0,734,8,17
0.1,2,5,1,1210,8,18
0.1,2,5,2,1872,8,19
0.1,2,5,3,3355,8,19
0.1,2,6,0,307,6,13
0.1,2,6,1,484,6,14
0.1,2,6,2,881,6,15
0.1,2,6,3,1097,6,15
0.1,2,7,0,305,6,13
0.1,2,7,1,483,6,14
0.1,2,7,2,881,6,15
0.1,2,7,3,1095,6,15
0.1,2,8,0,147,4,9
0.1,2,8,1,236,4,10
0.1,2,8,2,408,4,11
0.1,2,8,3,507,5,12
0.1,2,9,0,20,1,2
0.1,2,9,1,38,1,2
0.1,2,9,2,153,2,3
0.1,2,9,3,193,2,4
0.1,2,10,0,3,1,1
0.1,2,10,1,7,1,1
0.1,2,10,2,34,1,1
0.1,2,10,3,39,1,1
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,5000,0,0
0.1,3,3,1,5000,0,0
0.1,3,3,2,5000,0,0
0.1,3,3,3,5000,0,0
0.1,3,4,0,3933,9,19
0.1,3,4,1,5000,0,0
0.1,3,4,2,5000,0,0
0.1,3,4,3,5000,0,0
0.1,3,5,0,927,8,18
0.1,3,5,1,2028,8,19
0.1,3,5,2,3654,8,20
0.1,3,5,3,5000,0,1
0.1,3,6,0,366,6,14
0.1,3,6,1,566,6,15
0.1,3,6,2,1012,6,16
0.1,3,6,3,1393,7,17
0.1,3,7,0,177,5,11
0.1,3,7,1,269,5,12
0.1,3,7,2,444,5,13
0.1,3,7,3,537,5,13
0.1,3,8,0,152,5,11
0.1,3,8,1,239,5,12
0.1,3,8,2,407,5,13
0.1,3,8,3,482,5,13
0.1,3,9,0,25,3,4
0.1,3,9,1,43,3,4
0.1,3,9,2,159,4,5
0.1,3,9,3,200,4,6
0.1,3,10,0,9,3,3
0.1,3,10,1,13,3,3
0.1,3,10,2,41,3,3
0.1,3,10,3,45,3,3
0.1,4,2,0,5000,0,0
0.1,4,2,1,5000,0,0
0.1,4,2,2,5000,0,0
0.1,4,2,3,5000,0,0
0.1,4,3,0,5000,0,0
0.1,4,3,1,5000,0,0
0.1,4,3,2,5000,0,0
0.1,4,3,3,5000,0,0
0.1,4,4,0,5000,9,22
0.1,4,4,1,5000,0,0
0.1,4,4,2,5000,0,0
0.1,4,4,3,5000,0,0
0.1,4,5,0,1061,9,19
0.1,4,5,1,2004,9,20
0.1,4,5,2,4193,9,21
0.1,4,5,3,5000,8,16
0.1,4,6,0,390,7,16
0.1,4,6,1,638,7,17
0.1,4,6,2,1303,7,18
0.1,4,6,3,2778,8,19
0.1,4,7,0,332,7,15
0.1,4,7,1,543,7,16
0.1,4,7,2,1039,7,17
0.1,4,7,3,1707,7,17
0.1,4,8,0,161,5,12
0.1,4,8,1,256,6,14
0.1,4,8,2,430,6,15
0.1,4,8,3,544,6,15
0.1,4,9,0,27,3,5
0.1,4,9,1,49,3,5
0.1,4,9,2,168,4,6
0.1,4,9,3,234,5,8
0.1,4,10,0,6,3,4
0.1,4,10,1,14,3,4
0.1,4,10,2,46,3,4
0.1,4,10,3,67,3,4
0.1,5,2,0,5000,0,0
0.1,5,2,1,5000,0,0
0.1,5,2,2,5000,0,0
0.1,5,2,3,5000,0,0
0.1,5,3,0,5000,0,0
0.1,5,3,1,5000,0,0
0.1,5,3,2,5000,0,0
0.1,5,3,3,5000,0,0
0.1,5,4,0,5000,9,20
0.1,5,4,1,5000,0,1
0.1,5,4,2,5000,0,0
0.1,5,4,3,5000,0,0
0.1,5,5,0,2483,9,22
0.1,5,5,1,2962,9,22
0.1,5,5,2,3723,9,22
0.1,5,5,3,4624,9,22
0.1,5,6,0,2076,8,20
0.1,5,6,1,2092,8,20
0.1,5,6,2,2145,8,20
0.1,5,6,3,2223,8,20
0.1,5,7,0,311,4,6
0.1,5,7,1,362,4,6
0.1,5,7,2,719,5,8
0.1,5,7,3,775,5,9
0.1,5,8,0,145,3,5
0.1,5,8,1,175,3,5
0.1,5,8,2,346,4,6
0.1,5,8,3,386,5,8
0.1,5,9,0,27,3,3
0.1,5,9,1,31,3,3
0.1,5,9,2,78,3,3
0.1,5,9,3,79,3,3
0.1,5,10,0,3,3,3
0.1,5,10,1,3,3,3
0.1,5,10,2,4,3,3
0.1,5,10,3,4,3,3
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,0
0.2,1,3,1,5000,0,0
0.2,1,3,2,5000,0,0
0.2,1,3,3,5000,0,0
0.2,1,4,0,2039,6,14
0.2,1,4,1,5000,6,14
0.2,1,4,2,5000,0,0
0.2,1,4,3,5000,0,0
0.2,1,5,0,707,6,14
0.2,1,5,1,1145,6,15
0.2,1,5,2,1808,6,16
0.2,1,5,3,3200,6,16
0.2,1,6,0,75,2,6
0.2,1,6,1,112,2,6
0.2,1,6,2,186,2,6
0.2,1,6,3,287,2,6
0.2,1,7,0,24,2,6
0.2,1,7,1,51,2,6
0.2,1,7,2,72,2,6
0.2,1,7,3,100,2,6
0.2,1,8,0,14,1,4
0.2,1,8,1,27,1,4
0.2,1,8,2,39,1,4
0.2,1,8,3,48,1,4
0.2,1,9,0,10,0,3
0.2,1,9,1,13,0,3
0.2,1,9,2,25,1,4
0.2,1,9,3,33,1,4
0.2,1,10,0,9,0,3
0.2,1,10,1,12,0,3
0.2,1,10,2,23,1,4
0.2,1,10,3,30,1,4
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
0.2,2,2,3,5000,0,0
