id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	yu (2018)	"<table><tr><td>Authors:</td><td>yu z.; kraft n.a.; menzies t.</td></tr><tr><td>Title:</td><td>finding better active learners for faster literature reviews</td></tr><tr><td>Source:</td><td>empirical software engineering, 23(6), 3161-3186</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1007/s10664-017-9587-0	0.3706	-0.1821	3	5	2	2	2018	2	2
2	hassler (2018)	"<table><tr><td>Authors:</td><td>hassler e.e.; hale d.p.; hale j.e.</td></tr><tr><td>Title:</td><td>a comparison of automated training-by-example selection algorithms for evidence based software engineering</td></tr><tr><td>Source:</td><td>information and software technology, 98, 59-73</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1016/j.infsof.2018.02.001	0.2546	0.0834	3	4	0	0	2018	0	0
3	octaviano (2016)	"<table><tr><td>Authors:</td><td>octaviano f.; silva c.; fabbri s.</td></tr><tr><td>Title:</td><td>using the scas strategy to perform the initial selection of studies in systematic reviews: an experimental study</td></tr><tr><td>Source:</td><td>acm international conference proceeding series, 01-03-june-2016</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1145/2915970.2916000	0.932	0.1218	3	1	2	0.4444	2016	2	0.4444
4	millard (2016)	"<table><tr><td>Authors:</td><td>millard l.a.c.; flach p.a.; higgins j.p.t.</td></tr><tr><td>Title:</td><td>machine learning to assist risk-of-bias assessments in systematic reviews</td></tr><tr><td>Source:</td><td>international journal of epidemiology, 45(1), 266-277</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/10.1093/ije/dyv306	0.1149	0.2738	2	4	7	1.5556	2016	7	1.5556
5	piroi (2015)	"<table><tr><td>Authors:</td><td>piroi f.; lipani a.; lupu m.; hanbury a.</td></tr><tr><td>Title:</td><td>dasyr(ir) - document analysis system for systematic reviews (in information retrieval)</td></tr><tr><td>Source:</td><td>proceedings of the international conference on document analysis and recognition, icdar, 2015-november, 591-595</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1109/icdar.2015.7333830	0.4809	-0.7916	5	0	3	0.8571	2015	3	0.8571
6	mergel (2015)	"<table><tr><td>Authors:</td><td>mergel g.d.; silveira m.s.; da silva t.s.</td></tr><tr><td>Title:</td><td>a method to support search string building in systematic literature reviews through visual text mining</td></tr><tr><td>Source:</td><td>proceedings of the acm symposium on applied computing, 13-17-april-2015, 1594-1601</td></tr><tr><td>Year:</td><td>2015</td></tr></table>"	https://doi.org/10.1145/2695664.2695902	0.0065	0.8842	6	0	4	1.1429	2015	4	1.1429
7	shemilt (2014)	"<table><tr><td>Authors:</td><td>shemilt i.; simon a.; hollands g.j.; marteau t.m.; ogilvie d.; o'mara-eves a.; kelly m.p.; thomas j.</td></tr><tr><td>Title:</td><td>pinpointing needles in giant haystacks: use of text mining to reduce impractical screening workload in extremely large scoping reviews</td></tr><tr><td>Source:</td><td>research synthesis methods, 5(1), 31-49</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1002/jrsm.1093	0.1318	-0.3701	2	6	40	1.6327	2014	40	1.6327
8	bekhuis (2014)	"<table><tr><td>Authors:</td><td>bekhuis t.; tseytlin e.; mitchell k.j.; demner-fushman d.</td></tr><tr><td>Title:</td><td>feature engineering and a proposed decision-support system for systematic reviewers of medical evidence</td></tr><tr><td>Source:</td><td>plos one, 9(1)</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1371/journal.pone.0086277	-0.7526	-0.4176	1	8	15	0.6122	2014	15	0.6122
9	kim (2014)	"<table><tr><td>Authors:</td><td>kim s.; choi j.</td></tr><tr><td>Title:</td><td>an svm-based high-quality article classifier for systematic reviews</td></tr><tr><td>Source:</td><td>journal of biomedical informatics, 47, 153-159</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.jbi.2013.10.005	-0.1659	0.5221	1	3	10	0.4082	2014	10	0.4082
10	garcía adeva (2014)	"<table><tr><td>Authors:</td><td>garcía adeva j.j.; pikatza atxa j.m.; ubeda carrillo m.; ansuategi zengotitabengoa e.</td></tr><tr><td>Title:</td><td>automatic text classification to support systematic reviews in medicine</td></tr><tr><td>Source:</td><td>expert systems with applications, 41(4 part 1), 1498-1508</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.eswa.2013.08.047	-0.6199	-0.0733	1	3	38	1.551	2014	38	1.551
11	miwa (2014)	"<table><tr><td>Authors:</td><td>miwa m.; thomas j.; o'mara-eves a.; ananiadou s.</td></tr><tr><td>Title:</td><td>reducing systematic review workload through certainty-based screening</td></tr><tr><td>Source:</td><td>journal of biomedical informatics, 51, 242-253</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1016/j.jbi.2014.06.005	0.2951	-0.4822	2	6	38	1.551	2014	38	1.551
12	felizardo (2014)	"<table><tr><td>Authors:</td><td>felizardo k.r.; nakagawa e.y.; macdonell s.g.; maldonado j.c.</td></tr><tr><td>Title:</td><td>a visual analysis approach to update systematic reviews</td></tr><tr><td>Source:</td><td>acm international conference proceeding series</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/10.1145/2601248.2601252	0.7293	-0.3058	3	2	6	0.2449	2014	6	0.2449
