                           "initi"    "support"    "system"    "metric"    "specif"    "custom"    "program"    "achiev"    "pa"    "implement"    "organis"    "cmmi"    "qualiti"    "perform"    "spi"    "gqm"    "import"    "relat"    "activ"    "identifi"    "product"    "result"    "practic"    "object"    "base"    "approach"    "model"    "data"    "develop"    "manag"    "strateg"    "plan"    "strategi"    "action"    "project"    "requir"    "defin"    "organ"    "busi"    "level"    "measur"    "softwar"    "improv"    "process"    "goal"
-----------------------  ---------  -----------  ----------  ----------  ----------  ----------  -----------  ----------  ------  -------------  -----------  --------  -----------  -----------  -------  -------  ----------  ---------  ---------  ------------  -----------  ----------  -----------  ----------  --------  ------------  ---------  --------  -----------  ---------  -----------  --------  ------------  ----------  -----------  ----------  ---------  ---------  --------  ---------  ----------  -----------  ----------  -----------  --------
texts_Maid/QGS I.txt             2           10           3          11          14          10            9          13       0              1            0         1            0            0        0       48           6          8          3             1            4          18            1          11        10            40         43        20           26          7            9         8            79           1           21          17         16         38        30         76          49           34           5            7       141
texts_Maid/QGS II.txt           25           17          39          60          15          14            3           0       0              8            2         0           28           15        0        3           7          8         12             8           43          12            9          18        29            28         15         8           29         52           19        14            14          18            7          16         31          9       108         51          21           11         179          193       150
texts_Maid/QGS III.txt           3           13          22          21          26          34           24          32       0             13            0         1            7           10        0       72           7         19         12            18           22          20            7          31        18            41         45       124           32         30            5        18            58           2           50          13         48         37        74         59         155          105          27           38       209
texts_Maid/QGS IV.txt            5            1           2           2           0          16           43           1       0              8            0         5           18            3       20        0          10         14          3             5           13          20            6           0        11             5         12         0           17          8           43        18             8           5           39          10         17         28         4          8           1           32          50           87        48
texts_Maid/QGS IX.txt           29            6           4           0           9           9            3          15       0             19            0         4            6           16       30        9           1          9         41            19            8          18            4          65        13             7         32        10           22         46           50         4            54           4            4          11         25         27        29         11          66           29          45           64        20
texts_Maid/QGS V.txt             1           23           2           1           2           2            2           6       0             47            0         3           25           25        1        0           9         17         50            56           30          24            1          45         4            28         12        30           12         34            6        35            22          32           36           6         50         29        25         11          12           36         122          143         1
texts_Maid/QGS VI.txt            3            3          21           0           3           2            4           0       0              0          110         5            4            3        4        0           2          2          5             1            8          18            5           1        23             6          7        10           39          3            0         1             0           0           12           2          3          0        15         35          18           64          66           66         2
texts_Maid/QGS VII.txt          12           14           2           1          12           2            0          18       0              5            0         6            9           33        0        4          12         41          9            22           14           7            7           1        19            28          8         8            6          5          101       112             5          42           54           9         62         66        23         50          48          103          56           41       158
texts_Maid/QGS VIII.txt         20            7           6           8           5          13           17           3       0              8            0         0           11           15       27        0           5          9          3             6           10          15           10           2        14             9          8         9           18         47            5        15            15          31           31           2         11         25        41         16           9           42          49           25        33
texts_Maid/QGS X.txt             0            7           2           0          19           3            0          17     106              2            0        91           12            3       47        0          78         11          3             7            2           8          128           6        59             8         20         2           23          3            0        28             0         121            8         177          0         34        22         55           1           31          33          107        41
