min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,0,0
0.1,1,2,1,5000,0,0
0.1,1,2,2,5000,0,0
0.1,1,2,3,5000,0,0
0.1,1,3,0,5000,0,7
0.1,1,3,1,5000,0,0
0.1,1,3,2,5000,0,0
0.1,1,3,3,5000,0,0
0.1,1,4,0,3905,6,0
0.1,1,4,1,5000,0,19
0.1,1,4,2,5000,0,17
0.1,1,4,3,5000,0,4
0.1,1,5,0,1677,5,30
0.1,1,5,1,2819,5,30
0.1,1,5,2,2854,5,30
0.1,1,5,3,5000,1,21
0.1,1,6,0,1677,5,30
0.1,1,6,1,2819,5,30
0.1,1,6,2,2854,5,30
0.1,1,6,3,5000,1,21
0.1,1,7,0,1677,5,30
0.1,1,7,1,2384,5,30
0.1,1,7,2,2415,5,30
0.1,1,7,3,4225,5,30
0.1,1,8,0,896,3,19
0.1,1,8,1,1165,3,19
0.1,1,8,2,1333,3,19
0.1,1,8,3,2597,3,19
0.1,1,9,0,270,2,13
0.1,1,9,1,272,2,13
0.1,1,9,2,283,2,13
0.1,1,9,3,288,2,13
0.1,1,10,0,202,2,9
0.1,1,10,1,202,2,9
0.1,1,10,2,202,2,9
0.1,1,10,3,202,2,9
0.1,2,2,0,5000,0,0
0.1,2,2,1,5000,0,0
0.1,2,2,2,5000,0,0
0.1,2,2,3,5000,0,0
0.1,2,3,0,5000,0,0
0.1,2,3,1,5000,0,0
0.1,2,3,2,5000,0,0
0.1,2,3,3,5000,0,0
0.1,2,4,0,5000,0,23
0.1,2,4,1,5000,0,8
0.1,2,4,2,5000,0,8
0.1,2,4,3,5000,0,0
0.1,2,5,0,4340,5,35
0.1,2,5,1,5000,0,22
0.1,2,5,2,5000,0,19
0.1,2,5,3,5000,0,4
0.1,2,6,0,2657,5,34
0.1,2,6,1,3829,5,34
0.1,2,6,2,3920,5,34
0.1,2,6,3,5000,0,22
0.1,2,7,0,473,3,22
0.1,2,7,1,474,3,22
0.1,2,7,2,474,3,22
0.1,2,7,3,474,3,22
0.1,2,8,0,168,2,14
0.1,2,8,1,168,2,14
0.1,2,8,2,168,2,14
0.1,2,8,3,168,2,14
0.1,2,9,0,39,2,5
0.1,2,9,1,39,2,5
0.1,2,9,2,39,2,5
0.1,2,9,3,39,2,5
0.1,2,10,0,31,2,5
0.1,2,10,1,31,2,5
0.1,2,10,2,31,2,5
0.1,2,10,3,31,2,5
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,5000,0,1
0.1,3,3,1,5000,0,0
0.1,3,3,2,5000,0,0
0.1,3,3,3,5000,0,0
0.1,3,4,0,5000,2,28
0.1,3,4,1,5000,0,18
0.1,3,4,2,5000,0,15
0.1,3,4,3,5000,0,2
0.1,3,5,0,1738,5,32
0.1,3,5,1,2880,5,32
0.1,3,5,2,2915,5,32
0.1,3,5,3,5000,1,23
0.1,3,6,0,1717,5,32
0.1,3,6,1,2859,5,32
0.1,3,6,2,2894,5,32
0.1,3,6,3,5000,1,23
0.1,3,7,0,507,4,24
0.1,3,7,1,507,4,24
0.1,3,7,2,507,4,24
0.1,3,7,3,512,4,24
0.1,3,8,0,199,4,17
0.1,3,8,1,200,4,17
0.1,3,8,2,200,4,17
0.1,3,8,3,202,4,17
0.1,3,9,0,40,2,5
0.1,3,9,1,40,2,5
0.1,3,9,2,40,2,5
0.1,3,9,3,40,2,5
0.1,3,10,0,31,2,5
0.1,3,10,1,31,2,5
0.1,3,10,2,31,2,5
0.1,3,10,3,31,2,5
0.1,4,2,0,5000,0,0
0.1,4,2,1,5000,0,0
0.1,4,2,2,5000,0,0
0.1,4,2,3,5000,0,0
0.1,4,3,0,5000,0,1
0.1,4,3,1,5000,0,0
0.1,4,3,2,5000,0,0
0.1,4,3,3,5000,0,0
0.1,4,4,0,5000,2,28
0.1,4,4,1,5000,0,18
0.1,4,4,2,5000,0,15
0.1,4,4,3,5000,0,2
0.1,4,5,0,1717,5,32
0.1,4,5,1,2859,5,32
0.1,4,5,2,2894,5,32
0.1,4,5,3,5000,1,23
0.1,4,6,0,1717,5,32
0.1,4,6,1,2859,5,32
0.1,4,6,2,2894,5,32
0.1,4,6,3,5000,1,23
0.1,4,7,0,507,4,24
0.1,4,7,1,507,4,24
0.1,4,7,2,507,4,24
0.1,4,7,3,512,4,24
0.1,4,8,0,199,4,17
0.1,4,8,1,200,4,17
0.1,4,8,2,200,4,17
0.1,4,8,3,202,4,17
0.1,4,9,0,40,2,5
0.1,4,9,1,40,2,5
0.1,4,9,2,40,2,5
0.1,4,9,3,40,2,5
0.1,4,10,0,31,2,5
0.1,4,10,1,31,2,5
0.1,4,10,2,31,2,5
0.1,4,10,3,31,2,5
0.1,5,2,0,5000,0,0
0.1,5,2,1,5000,0,0
0.1,5,2,2,5000,0,0
0.1,5,2,3,5000,0,0
0.1,5,3,0,5000,0,1
0.1,5,3,1,5000,0,0
0.1,5,3,2,5000,0,0
0.1,5,3,3,5000,0,0
0.1,5,4,0,5000,2,28
0.1,5,4,1,5000,0,18
0.1,5,4,2,5000,0,15
0.1,5,4,3,5000,0,2
0.1,5,5,0,1717,5,32
0.1,5,5,1,2859,5,32
0.1,5,5,2,2894,5,32
0.1,5,5,3,5000,1,23
0.1,5,6,0,1717,5,32
0.1,5,6,1,2859,5,32
0.1,5,6,2,2894,5,32
0.1,5,6,3,5000,1,23
0.1,5,7,0,507,4,24
0.1,5,7,1,507,4,24
0.1,5,7,2,507,4,24
0.1,5,7,3,512,4,24
0.1,5,8,0,199,4,17
0.1,5,8,1,200,4,17
0.1,5,8,2,200,4,17
0.1,5,8,3,202,4,17
0.1,5,9,0,40,2,5
0.1,5,9,1,40,2,5
0.1,5,9,2,40,2,5
0.1,5,9,3,40,2,5
0.1,5,10,0,31,2,5
0.1,5,10,1,31,2,5
0.1,5,10,2,31,2,5
0.1,5,10,3,31,2,5
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,23
0.2,1,3,1,5000,0,4
0.2,1,3,2,5000,0,2
0.2,1,3,3,5000,0,0
0.2,1,4,0,3905,6,34
0.2,1,4,1,5000,0,19
0.2,1,4,2,5000,0,17
0.2,1,4,3,5000,0,4
0.2,1,5,0,1677,5,30
0.2,1,5,1,2819,5,30
0.2,1,5,2,2854,5,30
0.2,1,5,3,5000,1,21
0.2,1,6,0,1677,5,30
0.2,1,6,1,2384,5,30
0.2,1,6,2,2415,5,30
0.2,1,6,3,4225,5,30
0.2,1,7,0,1677,5,30
0.2,1,7,1,2384,5,30
0.2,1,7,2,2415,5,30
0.2,1,7,3,4225,5,30
0.2,1,8,0,896,3,19
0.2,1,8,1,1165,3,19
0.2,1,8,2,1333,3,19
0.2,1,8,3,2597,3,19
0.2,1,9,0,270,2,13
0.2,1,9,1,272,2,13
0.2,1,9,2,283,2,13
0.2,1,9,3,288,2,13
0.2,1,10,0,202,2,9
0.2,1,10,1,202,2,9
0.2,1,10,2,202,2,9
0.2,1,10,3,202,2,9
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
