min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,1,3
0.1,1,2,1,5000,0,2
0.1,1,2,2,5000,0,2
0.1,1,2,3,5000,0,2
0.1,1,3,0,383,3,5
0.1,1,3,1,1646,3,5
0.1,1,3,2,2021,3,5
0.1,1,3,3,5000,3,5
0.1,1,4,0,1,0,0
0.1,1,4,1,1,0,0
0.1,1,4,2,1,0,0
0.1,1,4,3,1,0,0
0.1,1,5,0,1,0,0
0.1,1,5,1,1,0,0
0.1,1,5,2,1,0,0
0.1,1,5,3,1,0,0
0.1,1,6,0,0,0,0
0.1,1,6,1,0,0,0
0.1,1,6,2,0,0,0
0.1,1,6,3,0,0,0
0.1,1,7,0,0,0,0
0.1,1,7,1,0,0,0
0.1,1,7,2,0,0,0
0.1,1,7,3,0,0,0
0.1,1,8,0,0,0,0
0.1,1,8,1,0,0,0
0.1,1,8,2,0,0,0
0.1,1,8,3,0,0,0
0.1,1,9,0,0,0,0
0.1,1,9,1,0,0,0
0.1,1,9,2,0,0,0
0.1,1,9,3,0,0,0
0.1,1,10,0,0,0,0
0.1,1,10,1,0,0,0
0.1,1,10,2,0,0,0
0.1,1,10,3,0,0,0
0.1,2,2,0,5000,0,0
0.1,2,2,1,5000,0,0
0.1,2,2,2,5000,0,0
0.1,2,2,3,5000,0,0
0.1,2,3,0,388,4,7
0.1,2,3,1,1651,4,7
0.1,2,3,2,2026,4,7
0.1,2,3,3,5000,4,7
0.1,2,4,0,195,4,5
0.1,2,4,1,693,4,6
0.1,2,4,2,837,4,6
0.1,2,4,3,4888,4,6
0.1,2,5,0,67,2,2
0.1,2,5,1,148,2,3
0.1,2,5,2,171,2,3
0.1,2,5,3,662,2,3
0.1,2,6,0,29,2,2
0.1,2,6,1,59,2,2
0.1,2,6,2,66,2,2
0.1,2,6,3,547,2,2
0.1,2,7,0,2,2,2
0.1,2,7,1,2,2,2
0.1,2,7,2,2,2,2
0.1,2,7,3,2,2,2
0.1,2,8,0,2,2,2
0.1,2,8,1,2,2,2
0.1,2,8,2,2,2,2
0.1,2,8,3,2,2,2
0.1,2,9,0,0,0,0
0.1,2,9,1,0,0,0
0.1,2,9,2,0,0,0
0.1,2,9,3,0,0,0
0.1,2,10,0,0,0,0
0.1,2,10,1,0,0,0
0.1,2,10,2,0,0,0
0.1,2,10,3,0,0,0
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,944,7,10
0.1,3,3,1,2492,7,10
0.1,3,3,2,2931,7,10
0.1,3,3,3,5000,7,10
0.1,3,4,0,301,7,7
0.1,3,4,1,567,7,7
0.1,3,4,2,666,7,7
0.1,3,4,3,5000,7,7
0.1,3,5,0,34,4,4
0.1,3,5,1,78,4,4
0.1,3,5,2,93,4,4
0.1,3,5,3,596,4,4
0.1,3,6,0,31,4,4
0.1,3,6,1,61,4,4
0.1,3,6,2,68,4,4
0.1,3,6,3,549,4,4
0.1,3,7,0,4,4,4
0.1,3,7,1,4,4,4
0.1,3,7,2,4,4,4
0.1,3,7,3,4,4,4
0.1,3,8,0,4,4,4
0.1,3,8,1,4,4,4
0.1,3,8,2,4,4,4
0.1,3,8,3,4,4,4
0.1,3,9,0,2,2,2
0.1,3,9,1,2,2,2
0.1,3,9,2,2,2,2
0.1,3,9,3,2,2,2
0.1,3,10,0,2,2,2
0.1,3,10,1,2,2,2
0.1,3,10,2,2,2,2
0.1,3,10,3,2,2,2
0.1,4,2,0,5000,0,0
0.1,4,2,1,5000,0,0
0.1,4,2,2,5000,0,0
0.1,4,2,3,5000,0,0
0.1,4,3,0,1380,8,11
0.1,4,3,1,2964,8,11
0.1,4,3,2,5000,8,11
0.1,4,3,3,5000,7,10
0.1,4,4,0,308,7,7
0.1,4,4,1,576,7,7
0.1,4,4,2,690,7,7
0.1,4,4,3,5000,7,7
0.1,4,5,0,34,4,4
0.1,4,5,1,78,4,4
0.1,4,5,2,93,4,4
0.1,4,5,3,596,4,4
0.1,4,6,0,31,4,4
0.1,4,6,1,61,4,4
0.1,4,6,2,68,4,4
0.1,4,6,3,549,4,4
0.1,4,7,0,4,4,4
0.1,4,7,1,4,4,4
0.1,4,7,2,4,4,4
