min_df,Topics,Words,Similar Words,No. Results,No. QGS,No. GS
0.1,1,2,0,5000,0,0
0.1,1,2,1,5000,0,0
0.1,1,2,2,5000,0,0
0.1,1,2,3,5000,0,0
0.1,1,3,0,5000,0,0
0.1,1,3,1,5000,0,0
0.1,1,3,2,5000,0,0
0.1,1,3,3,5000,0,0
0.1,1,4,0,2373,24,82
0.1,1,4,1,5000,24,84
0.1,1,4,2,5000,23,75
0.1,1,4,3,5000,18,47
0.1,1,5,0,1133,24,80
0.1,1,5,1,2548,24,82
0.1,1,5,2,2681,24,82
0.1,1,5,3,4161,30,91
0.1,1,6,0,1133,24,80
0.1,1,6,1,2548,24,82
0.1,1,6,2,2681,24,82
0.1,1,6,3,4155,30,91
0.1,1,7,0,527,18,57
0.1,1,7,1,867,18,58
0.1,1,7,2,879,18,58
0.1,1,7,3,959,18,58
0.1,1,8,0,180,12,35
0.1,1,8,1,223,12,35
0.1,1,8,2,234,14,37
0.1,1,8,3,321,15,39
0.1,1,9,0,161,12,34
0.1,1,9,1,162,12,34
0.1,1,9,2,166,14,36
0.1,1,9,3,196,15,38
0.1,1,10,0,69,7,18
0.1,1,10,1,71,7,18
0.1,1,10,2,82,7,19
0.1,1,10,3,99,8,20
0.1,2,2,0,5000,0,0
0.1,2,2,1,5000,0,0
0.1,2,2,2,5000,0,0
0.1,2,2,3,5000,0,0
0.1,2,3,0,5000,0,0
0.1,2,3,1,5000,0,0
0.1,2,3,2,5000,0,0
0.1,2,3,3,5000,0,0
0.1,2,4,0,5000,35,103
0.1,2,4,1,5000,0,0
0.1,2,4,2,5000,0,0
0.1,2,4,3,5000,0,0
0.1,2,5,0,1491,27,84
0.1,2,5,1,3196,27,86
0.1,2,5,2,3445,27,86
0.1,2,5,3,5000,30,91
0.1,2,6,0,751,22,66
0.1,2,6,1,1363,22,67
0.1,2,6,2,1435,22,67
0.1,2,6,3,1828,22,67
0.1,2,7,0,501,22,64
0.1,2,7,1,625,22,64
0.1,2,7,2,646,22,64
0.1,2,7,3,868,22,64
0.1,2,8,0,239,13,33
0.1,2,8,1,365,13,34
0.1,2,8,2,382,13,35
0.1,2,8,3,578,15,37
0.1,2,9,0,105,9,21
0.1,2,9,1,158,9,22
0.1,2,9,2,191,9,24
0.1,2,9,3,276,10,25
0.1,2,10,0,41,5,12
0.1,2,10,1,49,5,13
0.1,2,10,2,72,5,14
0.1,2,10,3,100,5,14
0.1,3,2,0,5000,0,0
0.1,3,2,1,5000,0,0
0.1,3,2,2,5000,0,0
0.1,3,2,3,5000,0,0
0.1,3,3,0,5000,0,0
0.1,3,3,1,5000,0,0
0.1,3,3,2,5000,0,0
0.1,3,3,3,5000,0,0
0.1,3,4,0,4986,26,87
0.1,3,4,1,5000,0,0
0.1,3,4,2,5000,0,0
0.1,3,4,3,5000,0,0
0.1,3,5,0,1750,26,85
0.1,3,5,1,5000,26,83
0.1,3,5,2,5000,26,73
0.1,3,5,3,5000,0,0
0.1,3,6,0,1102,22,69
0.1,3,6,1,5000,22,71
0.1,3,6,2,5000,23,72
0.1,3,6,3,5000,6,14
0.1,3,7,0,297,11,39
0.1,3,7,1,788,11,40
0.1,3,7,2,889,12,43
0.1,3,7,3,1693,15,48
0.1,3,8,0,218,11,37
0.1,3,8,1,259,11,37
0.1,3,8,2,284,11,39
0.1,3,8,3,363,13,41
0.1,3,9,0,93,9,21
0.1,3,9,1,113,9,21
0.1,3,9,2,131,9,23
0.1,3,9,3,176,11,25
0.1,3,10,0,55,5,12
0.1,3,10,1,75,5,12
0.1,3,10,2,92,5,14
0.1,3,10,3,126,7,16
0.1,4,2,0,5000,0,0
0.1,4,2,1,5000,0,0
0.1,4,2,2,5000,0,0
0.1,4,2,3,5000,0,0
0.1,4,3,0,5000,0,0
0.1,4,3,1,5000,0,0
0.1,4,3,2,5000,0,0
0.1,4,3,3,5000,0,0
0.1,4,4,0,5000,28,81
0.1,4,4,1,5000,0,0
0.1,4,4,2,5000,0,0
0.1,4,4,3,5000,0,0
0.1,4,5,0,2241,30,94
0.1,4,5,1,5000,30,0
0.1,4,5,2,5000,28,84
0.1,4,5,3,5000,0,0
0.1,4,6,0,1372,25,82
0.1,4,6,1,5000,25,84
0.1,4,6,2,5000,26,85
0.1,4,6,3,5000,0,1
0.1,4,7,0,438,13,49
0.1,4,7,1,945,13,50
0.1,4,7,2,1060,14,54
0.1,4,7,3,1948,20,63
0.1,4,8,0,247,8,31
0.1,4,8,1,535,8,31
0.1,4,8,2,640,10,36
0.1,4,8,3,1041,13,42
0.1,4,9,0,110,7,17
0.1,4,9,1,159,7,18
0.1,4,9,2,219,8,27
0.1,4,9,3,296,9,29
0.1,4,10,0,84,7,16
0.1,4,10,1,101,7,16
0.1,4,10,2,138,8,20
0.1,4,10,3,177,8,21
0.1,5,2,0,5000,0,0
0.1,5,2,1,5000,0,0
0.1,5,2,2,5000,0,0
0.1,5,2,3,5000,0,0
0.1,5,3,0,5000,0,0
0.1,5,3,1,5000,0,0
0.1,5,3,2,5000,0,0
0.1,5,3,3,5000,0,0
0.1,5,4,0,5000,37,111
0.1,5,4,1,5000,0,0
0.1,5,4,2,5000,0,0
0.1,5,4,3,5000,0,0
0.1,5,5,0,4166,31,97
0.1,5,5,1,5000,0,0
0.1,5,5,2,5000,0,0
0.1,5,5,3,5000,0,0
0.1,5,6,0,1966,28,86
0.1,5,6,1,5000,0,0
0.1,5,6,2,5000,0,0
0.1,5,6,3,5000,0,0
0.1,5,7,0,646,20,62
0.1,5,7,1,1406,20,63
0.1,5,7,2,1494,20,66
0.1,5,7,3,2302,25,74
0.1,5,8,0,549,19,60
0.1,5,8,1,1238,19,61
0.1,5,8,2,1320,19,63
0.1,5,8,3,1979,21,67
0.1,5,9,0,298,11,34
0.1,5,9,1,816,11,34
0.1,5,9,2,879,12,40
0.1,5,9,3,1163,12,41
0.1,5,10,0,208,8,24
0.1,5,10,1,358,8,24
0.1,5,10,2,410,9,26
0.1,5,10,3,-1,9,26
0.2,1,2,0,5000,0,0
0.2,1,2,1,5000,0,0
0.2,1,2,2,5000,0,0
0.2,1,2,3,5000,0,0
0.2,1,3,0,5000,0,0
0.2,1,3,1,5000,0,0
0.2,1,3,2,5000,0,0
0.2,1,3,3,5000,0,0
0.2,1,4,0,2373,24,82
0.2,1,4,1,5000,24,84
0.2,1,4,2,5000,23,75
0.2,1,4,3,5000,18,47
0.2,1,5,0,1133,24,80
0.2,1,5,1,2548,24,82
0.2,1,5,2,2681,24,82
0.2,1,5,3,4161,30,91
0.2,1,6,0,1133,24,80
0.2,1,6,1,2548,24,82
0.2,1,6,2,2681,24,82
0.2,1,6,3,4155,30,91
0.2,1,7,0,527,18,57
0.2,1,7,1,867,18,58
0.2,1,7,2,879,18,58
0.2,1,7,3,959,18,58
0.2,1,8,0,180,12,35
0.2,1,8,1,223,12,35
0.2,1,8,2,234,14,37
0.2,1,8,3,321,15,39
0.2,1,9,0,161,12,34
0.2,1,9,1,162,12,34
0.2,1,9,2,166,14,36
0.2,1,9,3,196,15,38
0.2,1,10,0,69,7,18
0.2,1,10,1,71,7,18
0.2,1,10,2,82,7,19
0.2,1,10,3,99,8,20
0.2,2,2,0,5000,0,0
0.2,2,2,1,5000,0,0
0.2,2,2,2,5000,0,0
